d_footforce_dt,Environment
-65.38494908227896,Corridor
14.045923066493744,Corridor
-7.582429017919001,Corridor
-0.8492006545317818,Corridor
6.438093185140827,Corridor
-1.7825056101672556,Corridor
-0.9197926046523985,Corridor
4.3597366637314465,Corridor
-0.6429801386642581,Corridor
-3.936307560097299,Corridor
0.6036970740641893,Corridor
-6.174339415708347,Corridor
6.575536552229319,Corridor
5.221179466379893,Corridor
-3.7762053599544907,Corridor
-3.9695214065975537,Corridor
8.804493338270136,Corridor
-4.303163787206419,Corridor
-4.888383474702553,Corridor
10.977880469337745,Corridor
-7.209587086856526,Corridor
0.0855740246747343,Corridor
7.1074670326729175,Corridor
-3.5205181398562386,Corridor
7.990581465017912,Corridor
-4.556651879656194,Corridor
-5.668711181232075,Corridor
-3.2494911605121044,Corridor
1.721119470203989,Corridor
11.399308936475387,Corridor
-10.217194749436176,Corridor
-3.836800755825074,Corridor
6.356358000905941,Corridor
-3.8895363122494127,Corridor
8.3361210932667,Corridor
1.8283191625969881,Corridor
-1.9798540669032194,Corridor
2.00736607900161,Corridor
-4.730155175125015,Corridor
10.052791109729306,Corridor
-4.897815219204967,Corridor
-11.135357284834296,Corridor
4.568231853106276,Corridor
7.042225281203042,Corridor
-2.0750131150003654,Corridor
0.8575757218633195,Corridor
-0.7841703125538454,Corridor
2.195027456769519,Corridor
5.6255716326986125,Corridor
-7.053748734857182,Corridor
3.996433608898114,Corridor
6.832469381960369,Corridor
-9.631905363783348,Corridor
-1.6162173466093464,Corridor
1.9005725887105838,Corridor
-1.8564559213457752,Corridor
7.3136518499933745,Corridor
-46.28402440307868,Corridor
217.01203729553393,Corridor
-726.096261881978,Corridor
2626.3557897744145,Corridor
-745.8857048924934,Corridor
-2412.8537400195073,Corridor
2705.2853570099724,Corridor
1365.3564459359586,Corridor
-3088.4128751625644,Corridor
2377.618544607845,Corridor
735.1413085476142,Corridor
-4281.008415452558,Corridor
3641.6793782047293,Corridor
-775.9131266556907,Corridor
-2612.539435868804,Corridor
4000.995171810131,Corridor
-900.4917769340304,Corridor
-2494.064994197201,Corridor
3374.3287198293565,Corridor
-1860.3798624258627,Corridor
-685.5612032047685,Corridor
1681.707774841208,Corridor
-1744.8696385024257,Corridor
2975.9574013407455,Corridor
-948.7100551893552,Corridor
-3469.765669804519,Corridor
4908.149366379798,Corridor
-1608.8645677340994,Corridor
-1913.7064861476495,Corridor
5031.4328664427485,Corridor
-4194.966375201251,Corridor
1232.4059311399983,Corridor
135.10998483056997,Corridor
-3372.4906409660753,Corridor
4319.192054875392,Corridor
-2887.6808876720056,Corridor
-869.3458303701291,Corridor
4253.763586723767,Corridor
-2087.021642251044,Corridor
357.3360370651157,Corridor
-114.69233343413713,Corridor
-439.8938098678406,Corridor
283.8399758053686,Corridor
-4973.47746673543,Corridor
2778.60623502892,Corridor
3444.622141058773,Corridor
-802.0788489351265,Corridor
-1568.484798014,Corridor
391.96766897982917,Corridor
566.4010377454795,Corridor
-2399.865591333091,Corridor
654.5433968102807,Corridor
244.31899841384862,Corridor
-1067.657725215322,Corridor
4154.641824686106,Corridor
-2227.3512387499886,Corridor
817.7781493335855,Corridor
3040.5555428881885,Corridor
-3351.5484944128193,Corridor
1263.4597516165627,Corridor
1063.7518770852748,Corridor
-2179.9770221539575,Corridor
912.2068399966054,Corridor
-677.6593286159184,Corridor
-3202.811790156831,Corridor
4165.731695706368,Corridor
-996.109335375291,Corridor
-2684.710943054861,Corridor
773.9103030362854,Corridor
2498.807147189099,Corridor
612.0718498070979,Corridor
-2895.425451595659,Corridor
2253.590421228105,Corridor
278.0861985655868,Corridor
-2964.4727864679526,Corridor
1602.8012719891858,Corridor
3135.5791148381204,Corridor
-4076.2028739151356,Corridor
1546.4624331371062,Corridor
1243.606997283933,Corridor
-6400.1213051700215,Corridor
5947.249687466117,Corridor
675.8087908495605,Corridor
-4249.956052094729,Corridor
3880.8020386215385,Corridor
-1697.0080177006073,Corridor
-2022.5182244360371,Corridor
3344.7831019661367,Corridor
-1652.715717400769,Corridor
-129.21478918018008,Corridor
827.3798016218876,Corridor
-168.56083884109577,Corridor
3265.3491961806826,Corridor
-3104.2744611658713,Corridor
193.19357880480248,Corridor
1776.8042358864998,Corridor
-4053.8380567283107,Corridor
1350.9600557411409,Corridor
1904.2886964638885,Corridor
-3551.514123766162,Corridor
-430.2081561915172,Corridor
3033.4658234820763,Corridor
-904.2350191066198,Corridor
1706.479073537396,Corridor
20.469667984850872,Corridor
-4601.738532624282,Corridor
4106.380858263636,Corridor
-73.23281496000767,Corridor
-3155.135102002206,Corridor
2398.2511927930564,Corridor
-1960.4211894360892,Corridor
1787.741919816239,Corridor
2493.0765709573925,Corridor
-3539.022938784361,Corridor
1632.7881254005308,Corridor
595.9089689694689,Corridor
-737.8193110802321,Corridor
183.60000149607106,Corridor
-2187.7584995322927,Corridor
1313.9334106864358,Corridor
2906.207612464551,Corridor
-2797.4475383470626,Corridor
72.17246290042013,Corridor
1899.6508276289564,Corridor
-4589.9420834504,Corridor
1662.7768777558665,Corridor
1079.0564269301492,Corridor
-1887.7500630970012,Corridor
3843.266777394601,Corridor
-1436.2729323039323,Corridor
-2115.8925771146182,Corridor
3235.996588258161,Corridor
-1925.214505050794,Corridor
-2066.269417640199,Corridor
1973.270800059793,Corridor
-1952.1988157086007,Corridor
1259.969757788046,Corridor
364.5963057919348,Corridor
798.3778984998243,Corridor
3393.726528788636,Corridor
-4917.490257375316,Corridor
1060.506653128641,Corridor
2109.266247216441,Corridor
-4297.7748457925445,Corridor
294.947911818691,Corridor
3100.863242045884,Corridor
-554.8814939250705,Corridor
2552.2142665521965,Corridor
301.83029772340007,Corridor
-3234.5713776622756,Corridor
1365.7187112643987,Corridor
1125.8380002974711,Corridor
-2123.2085756540478,Corridor
628.2119764883431,Corridor
-840.0624373122706,Corridor
-609.6534786294278,Corridor
3217.338971123389,Corridor
-3630.505771246081,Corridor
-2792.042045033652,Corridor
2855.969789450586,Corridor
881.4264183814097,Corridor
646.7085882039933,Corridor
-71.75883471589906,Corridor
-1167.995614939109,Corridor
1936.06631630772,Corridor
-1558.8392653888477,Corridor
-1761.137043365656,Corridor
3918.3104301829712,Corridor
-1289.5722474146598,Corridor
-934.0454821750701,Corridor
1515.4511477271406,Corridor
-3456.746197915696,Corridor
1426.4702806175455,Corridor
56.35836849982132,Corridor
983.3116058509255,Corridor
1327.6943820781653,Corridor
-2893.3776892770165,Corridor
1012.891133885113,Corridor
1742.6962957791163,Corridor
-2074.738894027382,Corridor
4.986191818778007,Corridor
3463.358170065741,Corridor
-3126.485682874205,Corridor
995.8873272683411,Corridor
1192.2053787622422,Corridor
-2084.6222273386893,Corridor
2101.2413602192078,Corridor
-3071.378102446226,Corridor
466.6949287864647,Corridor
2310.6754027867264,Corridor
-2890.826945884228,Corridor
1045.804123854546,Corridor
1587.8187510555638,Corridor
-2915.136276812115,Corridor
3190.465166368876,Corridor
-609.0955203689856,Corridor
-4331.910603165249,Corridor
1416.846576423489,Corridor
-37.45302888463566,Corridor
117.64261607052497,Corridor
2894.566067228816,Corridor
-1170.6137831358528,Corridor
-1204.2064890506344,Corridor
