time,f_aligned
6237.01,736.1256686191564
6237.11,736.1256686191564
6237.21,737.154664910967
6237.31,737.1560214771362
6237.41,737.1560214771362
6237.52,737.1560214771362
6237.62,734.5760682189422
6237.72,736.6315225402725
6237.82,735.097952656651
6237.92,735.6833557992188
6238.02,735.6031538812215
6238.12,735.6595829771487
6238.22,737.0746230877847
6238.32,734.1328217700119
6238.42,735.6031538812215
6238.52,735.6031538812215
6238.62,735.0789073290023
6238.73,735.6031538812215
6238.83,736.6315225402725
6238.93,736.6315225402725
6239.03,736.6315225402725
6239.13,735.0789073290023
6239.23,736.1093668742437
6239.33,735.6031538812215
6239.43,735.6031538812215
6239.53,735.6031538812215
6239.63,736.6315225402725
6239.73,735.6031538812215
6239.84,736.6315225402725
6239.94,735.6031538812215
6240.04,737.1560214771362
6240.14,735.1605266878793
6240.24,736.1256686191564
6240.34,734.1478317987854
6240.44,735.6031538812215
6240.54,736.1256686191564
6240.64,735.1605266878793
6240.74,736.1093668742437
6240.84,736.6315225402725
6240.94,734.6550210813236
6241.05,736.1093668742437
6241.15,735.1605266878793
6241.25,735.6031538812215
6241.35,736.1093668742437
6241.45,735.1605266878793
6241.55,736.1256686191564
6241.65,735.1605266878793
6241.75,735.1605266878793
6241.85,735.6031538812215
6241.95,735.1605266878793
6242.05,734.6386867025177
6242.15,734.6386867025177
6242.26,735.1605266878793
6242.36,734.196840091266
6242.46,735.667044253037
6242.56,734.7189939017502
6242.66,735.751316682478
6242.76,735.2978988138073
6242.86,735.2298960189255
6242.96,735.2258156512188
6243.06,735.2258156512188
6243.16,734.7897658514305
6243.26,734.7897658514305
6243.37,735.751316682478
6243.47,734.7230770841487
6243.57,736.2587860256746
6243.67,736.2587860256746
6243.77,735.751316682478
6243.87,735.2258156512188
6243.97,735.3114986181026
6244.07,735.2258156512188
6244.17,735.3114986181026
6244.27,735.3114986181026
6244.37,734.7897658514305
6244.47,735.751316682478
6244.58,736.2560695844891
6244.68,734.7897658514305
6244.78,736.2587860256746
6244.88,735.751316682478
6244.98,735.3114986181026
6245.08,735.751316682478
6245.18,735.3295900532618
6245.28,734.7897658514305
6245.38,735.8192712888132
6245.48,735.8192712888132
6245.58,735.3862930460426
6245.68,734.8591701816069
6245.79,734.3507336416299
6245.89,736.8541239621313
6245.99,735.3862930460426
6246.09,735.3808537077913
6246.19,735.8192712888132
6246.29,735.751316682478
6246.39,735.3114986181026
6246.49,735.8382974539991
6246.59,736.3457068524267
6246.69,736.3457068524267
6246.79,735.3862930460426
6246.9,735.9076028959071
6247.0,734.3507336416299
6247.1,734.8591701816069
6247.2,734.8591701816069
6247.3,734.8591701816069
6247.4,735.9076028959071
6247.5,735.3862930460426
6247.6,736.3457068524267
6247.7,735.2978988138073
6247.8,734.8591701816069
6247.9,735.3180184344261
6248.0,735.9076028959071
6248.11,734.8591701816069
6248.21,735.3862930460426
6248.31,734.8591701816069
6248.41,734.3507336416299
6248.51,735.3808537077913
6248.61,734.3507336416299
6248.71,735.3862930460426
6248.81,734.8591701816069
6248.91,734.8591701816069
6249.01,735.3862930460426
6249.11,734.8591701816069
6249.21,735.3862930460426
6249.32,734.791928172105
6249.42,734.3507336416299
6249.52,734.8591701816069
6249.62,734.8591701816069
6249.72,733.9128013599436
6249.82,734.3507336416299
6249.92,734.8782212040305
6250.02,734.3507336416299
6250.12,734.3507336416299
6250.22,734.8782212040305
6250.32,734.3507336416299
6250.43,734.3507336416299
6250.53,734.3507336416299
6250.63,734.4215410784191
6250.73,734.8727781051629
6250.83,734.3507336416299
6250.93,734.8782212040305
6251.03,733.9128013599436
6251.13,734.3507336416299
6251.23,734.3507336416299
6251.33,734.8782212040305
6251.43,734.3507336416299
6251.54,733.4050722486176
6251.64,733.8433075255234
6251.74,733.3914370920893
6251.84,733.9128013599436
6251.94,733.9128013599436
6252.04,733.9128013599436
6252.14,733.9128013599436
6252.24,734.3507336416299
6252.34,734.3507336416299
