angular_v_mag,Environment
0.001338060824650359,Corridor
0.0015109638896777116,Corridor
0.0020138739351580576,Corridor
0.0013412979360682697,Corridor
0.0010263282783929324,Corridor
0.00015382153012001202,Corridor
0.001699757063252355,Corridor
0.0011561226362909128,Corridor
0.0024152821879262908,Corridor
0.0006222435603292415,Corridor
0.0022918524365039307,Corridor
0.0011217124375769226,Corridor
0.0005027255335750911,Corridor
0.00065322872179735,Corridor
0.0008260612167727037,Corridor
0.0009778825289450672,Corridor
0.0011016995664086464,Corridor
0.0009640506552790678,Corridor
0.0002918935187975234,Corridor
0.0010311368694315027,Corridor
0.0007901148169956058,Corridor
0.0009761195694816292,Corridor
0.0013074996450573133,Corridor
0.0011404300234999075,Corridor
0.0010419288258878335,Corridor
0.0008415495672484188,Corridor
0.0006311614784102401,Corridor
0.0012455671574704429,Corridor
0.0015239035208752555,Corridor
0.0006293767803160515,Corridor
0.001780077248021838,Corridor
0.0031278927303731185,Corridor
0.001730776757182162,Corridor
0.0014176200295269537,Corridor
0.0015975790567042368,Corridor
0.001030328827367264,Corridor
0.001947401547049298,Corridor
0.0011386345661189997,Corridor
0.0006052760379240211,Corridor
0.0005036686556795061,Corridor
0.0038108186538533943,Corridor
0.0014536853187674418,Corridor
0.0018690394141680612,Corridor
0.0010037085259899353,Corridor
0.0020317257832908947,Corridor
0.001980189336654452,Corridor
0.0015853645041128562,Corridor
0.0013653648681802967,Corridor
0.001750571145236891,Corridor
0.0018923469750550504,Corridor
0.0007965913183709694,Corridor
0.0025540953143187504,Corridor
0.021817404103258685,Corridor
0.08194771588640466,Corridor
0.14157753417383598,Corridor
0.1626765291234605,Corridor
0.23337202123688694,Corridor
0.17244804081354476,Corridor
0.21055246728739604,Corridor
0.1160295276642976,Corridor
0.1002152652621346,Corridor
0.15853280562145491,Corridor
0.1440713279796157,Corridor
0.04968225283831239,Corridor
0.04995604714524159,Corridor
0.14521290666338063,Corridor
0.02961075323240022,Corridor
0.061811802866903194,Corridor
0.048986568806632096,Corridor
0.08293157630783225,Corridor
0.09735506926802116,Corridor
0.06489858151315789,Corridor
0.036201040629740174,Corridor
0.10430472940921756,Corridor
0.07935394241939087,Corridor
0.07593614419820116,Corridor
0.08232098872455067,Corridor
0.04991924729951063,Corridor
0.06678388667858513,Corridor
0.07421424846921243,Corridor
0.061158620995653584,Corridor
0.08014736631811428,Corridor
0.04804753348352129,Corridor
0.12826949221481349,Corridor
0.12288491749463153,Corridor
0.05607546998271525,Corridor
0.11735409818195526,Corridor
0.11689116580229662,Corridor
0.12026501367543428,Corridor
0.10957610029428133,Corridor
0.16710228314370812,Corridor
0.23349209636861373,Corridor
0.16685494519947558,Corridor
0.25736201526489877,Corridor
0.3417000443316038,Corridor
0.22085825573487172,Corridor
0.06613258611463792,Corridor
0.12060457138168519,Corridor
0.17671059705394015,Corridor
0.08776016610991573,Corridor
0.07966503798913296,Corridor
0.11166584600248186,Corridor
0.14798157235176274,Corridor
0.07558757400823234,Corridor
0.1035872735318871,Corridor
0.19155381438710636,Corridor
0.24986656814900227,Corridor
0.14798692421078963,Corridor
0.12092892487031379,Corridor
0.24887257994807302,Corridor
0.1044515848430977,Corridor
0.2591443310232698,Corridor
0.12528458322156003,Corridor
0.16086929952718887,Corridor
0.05842334962167437,Corridor
0.19347916206503887,Corridor
0.08074081484465957,Corridor
0.10793396106332796,Corridor
0.06511874127230961,Corridor
0.18611829738265928,Corridor
0.14867138420314782,Corridor
0.09349936954097605,Corridor
0.15998313452973723,Corridor
0.12126309630839877,Corridor
0.06382868722337942,Corridor
0.08673742573013103,Corridor
0.11693359219163671,Corridor
0.06860828416955199,Corridor
0.09358715868542007,Corridor
0.08698625009252899,Corridor
0.4528385436303429,Corridor
0.2545830312535578,Corridor
0.12208437556464789,Corridor
0.17486997740321236,Corridor
0.14846540817695178,Corridor
0.11005919627673508,Corridor
0.07188163213429422,Corridor
0.14802057125683576,Corridor
0.20837817714050574,Corridor
0.14099398471225644,Corridor
0.10414948600430056,Corridor
0.2052417675821615,Corridor
0.12189588781419167,Corridor
0.07709380400525062,Corridor
0.2159790739180072,Corridor
