time,total_torque,footforce,d_footforce_dt,environment
5647.08,0.17343332318247226,840.526620637324,-65.38494908227896,Corridor
5647.18,0.0055065597303811525,840.0083332919978,14.045923066493744,Corridor
5647.28,0.0009022207630968457,840.3969300277101,-7.582429017919001,Corridor
5647.38,0.00034814717935971516,839.5373726046982,-0.8492006545317818,Corridor
5647.48,0.0005360463146148952,840.3969300277101,6.438093185140827,Corridor
5647.58,0.0005663058465086207,840.0083332919978,-1.7825056101672556,Corridor
5647.68,0.00010800155674692242,840.5908636191568,-0.9197926046523985,Corridor
5647.78,0.0002582714840774923,840.0749966520847,4.3597366637314465,Corridor
5647.88,0.0003001619438882179,841.1278143064822,-0.6429801386642581,Corridor
5647.98,0.00016788154741425814,840.0083332919978,-3.936307560097299,Corridor
5648.08,0.0004608422198948088,840.5908636191568,0.6036970740641893,Corridor
5648.19,0.00034906092302922965,839.7240324269151,-6.174339415708347,Corridor
5648.29,0.00032023480724777993,840.0083332919978,6.575536552229319,Corridor
5648.39,0.0004556969358430241,840.5908636191568,5.221179466379893,Corridor
5648.49,9.162595308595437e-05,840.8125226612688,-3.7762053599544907,Corridor
5648.59,0.0001949614375367217,840.1202294909938,-3.9695214065975537,Corridor
5648.69,9.772187203786883e-05,840.4497111900727,8.804493338270136,Corridor
5648.79,0.00014850572669189194,841.0172412025809,-4.303163787206419,Corridor
5648.89,0.00015544888892790902,840.0083332919978,-4.888383474702553,Corridor
5648.99,9.848111394684571e-05,840.5908636191568,10.977880469337745,Corridor
5649.09,8.516412577507613e-05,841.0624233670173,-7.209587086856526,Corridor
5649.19,0.00012427150311925323,840.0083332919978,0.0855740246747343,Corridor
5649.29,0.0001721531537782233,841.0624233670173,7.1074670326729175,Corridor
5649.4,0.000328897537401933,840.8444136382205,-3.5205181398562386,Corridor
5649.5,0.00016479935941885447,841.1278143064822,7.990581465017912,Corridor
5649.6,0.00043992578444374447,841.6454122728883,-4.556651879656194,Corridor
5649.7,0.0001761489706177049,840.5908636191568,-5.668711181232075,Corridor
5649.8,0.0002174733104171045,840.5908636191568,-3.2494911605121044,Corridor
5649.9,0.00023815748015281415,840.0083332919978,1.721119470203989,Corridor
5650.0,0.0002691504895519404,841.1278143064822,11.399308936475387,Corridor
5650.1,0.0003020029134145567,841.2585809369198,-10.217194749436176,Corridor
5650.2,0.0003480087304614484,840.0083332919978,-3.836800755825074,Corridor
5650.3,0.00024134116672878614,840.5908636191568,6.356358000905941,Corridor
5650.4,0.000580520012222589,840.5908636191568,-3.8895363122494127,Corridor
5650.5,0.0005740862201036247,840.5908636191568,8.3361210932667,Corridor
5650.61,0.00035748994955423505,841.6454122728883,1.8283191625969881,Corridor
5650.71,0.00040516145585949676,841.0624233670173,-1.9798540669032194,Corridor
5650.81,0.0008477854563159388,841.5049862209826,2.00736607900161,Corridor
5650.91,0.00023249997533036538,841.0871877805749,-4.730155175125015,Corridor
5651.01,0.0003217888007480596,841.2997427121388,10.052791109729306,Corridor
5651.11,0.00032312243074670064,842.1175689890338,-4.897815219204967,Corridor
5651.21,0.00032799783771064923,840.5908636191568,-11.135357284834296,Corridor
5651.31,0.0006765082433249951,840.5908636191568,4.568231853106276,Corridor
5651.41,0.0009808169125045045,841.0624233670173,7.042225281203042,Corridor
5651.51,0.0002118098499810164,841.6454122728883,-2.0750131150003654,Corridor
5651.61,0.0004961790724672496,841.0624233670173,0.8575757218633195,Corridor
5651.72,0.00045649607872791023,841.6454122728883,-0.7841703125538454,Corridor
5651.82,0.0006220760026102649,841.0624233670173,2.195027456769519,Corridor
5651.92,0.0005716623501006643,842.1175689890338,5.6255716326986125,Corridor
5652.02,0.0001674257202433837,841.6454122728883,-7.053748734857182,Corridor
5652.12,0.0005427229633066466,841.5004471064561,3.996433608898114,Corridor
5652.22,0.0011814052353377224,842.1816906107613,6.832469381960369,Corridor
5652.32,0.003407413820868224,842.2291849609583,-9.631905363783348,Corridor
5652.42,0.0067688104695664926,841.0624233670173,-1.6162173466093464,Corridor
5652.52,0.004970024214323405,841.7309546404956,1.9005725887105838,Corridor
5652.63,0.01092698904066639,841.2122205484178,-1.8564559213457752,Corridor
5652.72,0.040269291925154285,841.6454122728883,7.3136518499933745,Corridor
5652.82,0.014002992394084729,841.3047590339394,-46.28402440307868,Corridor
5652.93,0.07964937742682927,841.6454122728883,217.01203729553393,Corridor
5653.03,0.04427222319146319,842.1816906107613,-726.096261881978,Corridor
5653.13,0.028389592401048214,845.65063708366,2626.3557897744145,Corridor
5653.23,0.05891378577190324,1146.1889024065797,-745.8857048924934,Corridor
5653.33,0.031287067825929236,749.2456206078218,-2412.8537400195073,Corridor
5653.43,0.021537852448136646,888.4981710729629,2705.2853570099724,Corridor
5653.53,0.06138872570949061,1077.9772724876902,1365.3564459359586,Corridor
5653.63,0.024282194151910536,1060.001415093395,-3088.4128751625644,Corridor
5653.73,0.013789226812373894,793.7152193008334,2377.618544607845,Corridor
5653.83,0.04637844362969967,1296.4634667451105,735.1413085476142,Corridor
5653.93,0.026156859249569835,825.8976934221332,-4281.008415452558,Corridor
5654.03,0.015970080262826345,873.6134311736877,3641.6793782047293,Corridor
5654.14,0.014682489056645485,1138.1186229914701,-775.9131266556907,Corridor
5654.24,0.017870603212005898,804.8204768766759,-2612.539435868804,Corridor
5654.34,0.007556564908713888,900.8545942603612,4000.995171810131,Corridor
5654.44,0.021017191197157586,1220.0713093913814,-900.4917769340304,Corridor
5654.54,0.015250873845914682,833.4386600104414,-2494.064994197201,Corridor
