T_FR_HIP,T_FR_THIGH,T_FR_CALF,T_FL_HIP,T_FL_THIGH,T_FL_CALF,T_RR_HIP,T_RR_THIGH,T_RR_CALF,T_RL_HIP,T_RL_THIGH,T_RL_CALF,Environment
9.636668914418087e-06,8.489672391096855e-05,2.067716214831556e-05,9.636668914418087e-06,8.489672391096855e-05,2.067716214831556e-05,9.636668914418087e-06,8.489672391096855e-05,2.067716214831556e-05,9.636668914418087e-06,8.489672391096855e-05,2.067716214831556e-05,Corridor
5.7875849346210565e-06,6.545342134682597e-05,1.602422447586037e-05,5.7875849346210565e-06,6.545342134682597e-05,1.602422447586037e-05,5.7875849346210565e-06,6.545342134682597e-05,1.602422447586037e-05,5.7875849346210565e-06,6.545342134682597e-05,1.602422447586037e-05,Corridor
4.7029532554374265e-06,6.049572202914806e-05,1.4860026527359499e-05,4.7029532554374265e-06,6.049572202914806e-05,1.4860026527359499e-05,4.7029532554374265e-06,6.049572202914806e-05,1.4860026527359499e-05,4.7029532554374265e-06,6.049572202914806e-05,1.4860026527359499e-05,Corridor
6.957621562491254e-06,8.589371413992031e-05,2.1072898258344484e-05,6.957621562491254e-06,8.589371413992031e-05,2.1072898258344484e-05,6.957621562491254e-06,8.589371413992031e-05,2.1072898258344484e-05,6.957621562491254e-06,8.589371413992031e-05,2.1072898258344484e-05,Corridor
2.0244518317225082e-06,1.6797200704687206e-05,4.084835735078881e-06,2.0244518317225082e-06,1.6797200704687206e-05,4.084835735078881e-06,2.0244518317225082e-06,1.6797200704687206e-05,4.084835735078881e-06,2.0244518317225082e-06,1.6797200704687206e-05,4.084835735078881e-06,Corridor
4.1074985368410316e-06,3.588909774077817e-05,8.743763106561222e-06,4.1074985368410316e-06,3.588909774077817e-05,8.743763106561222e-06,4.1074985368410316e-06,3.588909774077817e-05,8.743763106561222e-06,4.1074985368410316e-06,3.588909774077817e-05,8.743763106561222e-06,Corridor
1.4860466959602278e-06,1.8424284749741037e-05,4.520136563765939e-06,1.4860466959602278e-06,1.8424284749741037e-05,4.520136563765939e-06,1.4860466959602278e-06,1.8424284749741037e-05,4.520136563765939e-06,1.4860466959602278e-06,1.8424284749741037e-05,4.520136563765939e-06,Corridor
4.162813461663838e-06,2.653442591671178e-05,6.429192294597368e-06,4.162813461663838e-06,2.653442591671178e-05,6.429192294597368e-06,4.162813461663838e-06,2.653442591671178e-05,6.429192294597368e-06,4.162813461663838e-06,2.653442591671178e-05,6.429192294597368e-06,Corridor
2.852798052901748e-06,2.8915225938258327e-05,7.094198240817171e-06,2.852798052901748e-06,2.8915225938258327e-05,7.094198240817171e-06,2.852798052901748e-06,2.8915225938258327e-05,7.094198240817171e-06,2.852798052901748e-06,2.8915225938258327e-05,7.094198240817171e-06,Corridor
3.7754050112712546e-06,1.695613978593701e-05,3.888733689503164e-06,3.7754050112712546e-06,1.695613978593701e-05,3.888733689503164e-06,3.7754050112712546e-06,1.695613978593701e-05,3.888733689503164e-06,3.7754050112712546e-06,1.695613978593701e-05,3.888733689503164e-06,Corridor
1.3540469222034252e-06,1.6005475970040308e-05,3.931508551525295e-06,1.3540469222034252e-06,1.6005475970040308e-05,3.931508551525295e-06,1.3540469222034252e-06,1.6005475970040308e-05,3.931508551525295e-06,1.3540469222034252e-06,1.6005475970040308e-05,3.931508551525295e-06,Corridor
