angular_vel_mag,Environment
0.005741340702811931,Corridor
0.0014482275389213586,Corridor
0.0004442262750947673,Corridor
0.0003777416831088134,Corridor
0.0005457928571546449,Corridor
0.000963412944534493,Corridor
0.0010484305584778021,Corridor
0.0008923179474503387,Corridor
0.001191948509775094,Corridor
0.0004567992278756427,Corridor
0.00021333193576571487,Corridor
0.000730529510416887,Corridor
0.0007142437321957645,Corridor
0.0005761370451423428,Corridor
0.0006549142459932907,Corridor
0.0004558484220496763,Corridor
0.00043241198605403866,Corridor
0.000806952914721306,Corridor
0.0004866556234131365,Corridor
0.0002041548228290624,Corridor
0.00017892108039034365,Corridor
0.0005787559805022079,Corridor
0.000758723245416701,Corridor
0.0006314502920217004,Corridor
0.00043370947003653064,Corridor
0.0002996674540183275,Corridor
0.00029236873848602417,Corridor
0.000445365465700971,Corridor
0.00027215884014337343,Corridor
0.0004902776953767304,Corridor
0.0009963511683758175,Corridor
0.0008069101090982944,Corridor
0.0002954016517245939,Corridor
0.0009330210675732533,Corridor
0.0010553466550033638,Corridor
0.0010869646897401584,Corridor
0.0007105029950994895,Corridor
0.0006496365712664818,Corridor
0.0007208720373085589,Corridor
0.0004908892874519282,Corridor
0.0003102373079533283,Corridor
0.0004607932847535319,Corridor
0.0007927348670901139,Corridor
0.0012246175460135166,Corridor
0.0008732771164202824,Corridor
0.0010829147640337002,Corridor
0.000695093340982176,Corridor
0.00012566988724230796,Corridor
0.0002962391338677616,Corridor
0.00010965353002138282,Corridor
0.0008034779569537072,Corridor
0.004610766216781162,Corridor
0.008409647956412015,Corridor
0.011928170492626254,Corridor
0.020688326276772112,Corridor
0.05727460876934898,Corridor
0.10746321648775688,Corridor
0.07385283602864066,Corridor
0.027353772178103915,Corridor
0.12252083790172975,Corridor
0.12707936011979437,Corridor
0.10033995673690851,Corridor
0.08057424815208047,Corridor
0.03956137128913989,Corridor
0.02846426573002161,Corridor
0.022784138228556666,Corridor
0.05922007318531541,Corridor
0.05918566646668576,Corridor
0.04429714305520324,Corridor
0.052441577990499144,Corridor
0.029737764639079598,Corridor
0.04507738365010498,Corridor
0.04258991678690485,Corridor
0.03388277908403035,Corridor
0.030912242451023312,Corridor
0.02626430468943953,Corridor
0.04986829023480171,Corridor
0.050125677841622626,Corridor
0.054511861790623055,Corridor
0.04627410094054583,Corridor
0.049599384360852386,Corridor
0.03458817041169211,Corridor
0.023747255379866754,Corridor
0.029069641509491387,Corridor
0.039111480594962944,Corridor
0.01696374665371891,Corridor
0.015266072611174405,Corridor
0.03614624256886903,Corridor
0.055199654856942566,Corridor
0.03689312735953253,Corridor
0.066462108656905,Corridor
0.12543935876665444,Corridor
0.04881372119533938,Corridor
0.045229063552258975,Corridor
0.06336285605395595,Corridor
0.07408903029552127,Corridor
0.07422887507407173,Corridor
0.06927388925369614,Corridor
0.11560145596821356,Corridor
0.07584063509494204,Corridor
0.02120257962844004,Corridor
0.010330619422234908,Corridor
0.06419915031023486,Corridor
0.09084910707594844,Corridor
0.09863732482158744,Corridor
0.1024628562829456,Corridor
0.06300576650778084,Corridor
0.028521951519707642,Corridor
0.11945772120917449,Corridor
0.1535661015211965,Corridor
0.07230831793758866,Corridor
0.04864345263786,Corridor
0.08229034315236672,Corridor
0.052195357388521435,Corridor
0.06830390164742071,Corridor
0.056015623808095195,Corridor
0.10489747956331553,Corridor
0.11227056428584166,Corridor
0.08173101982844679,Corridor
0.08594591623265782,Corridor
0.02924376608467036,Corridor
0.09193789907568814,Corridor
0.09109596093805043,Corridor
0.06267783783598357,Corridor
0.017182033522843778,Corridor
0.07314263562026252,Corridor
0.07307110530574559,Corridor
0.08497775734542616,Corridor
0.07171941256861268,Corridor
0.08806468462725234,Corridor
0.046064445265977055,Corridor
0.07764571947258753,Corridor
0.1177958624706635,Corridor
0.14906901903477737,Corridor
0.10649491743377895,Corridor
0.054588591567508137,Corridor
0.034922090618045354,Corridor
0.05629806202141165,Corridor
0.08764792774800911,Corridor
0.10187665846449681,Corridor
0.14206851969139275,Corridor
0.1228962361932896,Corridor
0.06103987369197935,Corridor
0.10336888518776371,Corridor
0.12937753033898675,Corridor
0.0983320720073862,Corridor
0.0783606736223729,Corridor
0.050410179963978195,Corridor
0.09472522340626433,Corridor
0.13227807352765433,Corridor
0.1509216387868857,Corridor
0.10634355382777289,Corridor
0.06970084551494234,Corridor
0.06357853648470439,Corridor
0.14158932354645776,Corridor
0.17453449780907215,Corridor
0.13950861654178937,Corridor
0.048296436488133046,Corridor
0.06734083359619215,Corridor
0.0643243929695116,Corridor
0.15752988185896932,Corridor
0.13450098790106432,Corridor
0.06904740234433909,Corridor
0.042621496985724816,Corridor
0.10732920665268236,Corridor
0.1624767252425761,Corridor
0.14828854314844941,Corridor
0.0613936304306346,Corridor
0.13552568601783996,Corridor
0.2010730361531843,Corridor
0.21185749440815593,Corridor
0.1473719584155309,Corridor
0.08945226561039202,Corridor
0.15047585328400756,Corridor
0.10565146555461548,Corridor
0.05457814988750412,Corridor
0.12714921550087924,Corridor
0.16961183363587518,Corridor
0.14018663637762319,Corridor
0.08083304756766096,Corridor
0.06819802933208821,Corridor
0.061285346872938344,Corridor
0.11841846004827844,Corridor
0.12933971037381364,Corridor
0.10942731251589272,Corridor
0.055429289215802084,Corridor
0.07437546080412667,Corridor
0.13966130048350442,Corridor
0.14616223071816833,Corridor
0.07968146159668389,Corridor
0.037926129107222956,Corridor
0.05221033558485041,Corridor
0.0996924836525714,Corridor
0.12951904903321673,Corridor
0.14367980910189168,Corridor
0.07645351395680744,Corridor
0.10454556577888102,Corridor
0.12780001616071893,Corridor
0.11806216099467183,Corridor
0.1056849628135573,Corridor
0.06094468865997386,Corridor
0.05123032752442237,Corridor
0.08191690645573244,Corridor
0.16609063722966616,Corridor
0.4784028776625068,Corridor
0.5842022228283372,Corridor
0.45533745557867145,Corridor
0.21714920567940962,Corridor
0.10433795682550598,Corridor
0.1020632164135806,Corridor
0.1170372647822972,Corridor
0.14953352514170304,Corridor
0.14922904386280483,Corridor
0.12826868948239953,Corridor
0.17034673937146574,Corridor
0.1668725824283424,Corridor
0.07179254586261122,Corridor
0.0489279193115522,Corridor
0.12686414486371644,Corridor
0.15223866903680705,Corridor
0.1085755399821496,Corridor
0.07534962223129434,Corridor
0.11930414498790985,Corridor
0.10787222024748014,Corridor
0.11090662904773851,Corridor
0.11547405445001262,Corridor
0.06512635477190246,Corridor
0.04144648459401677,Corridor
0.08811741919190394,Corridor
0.08064097663952409,Corridor
0.0386836615547135,Corridor
0.07523053173952292,Corridor
0.12211582038152317,Corridor
0.14295227903754845,Corridor
0.0985796030930734,Corridor
0.07248534598931394,Corridor
0.10706938435433705,Corridor
0.15818200094848914,Corridor
0.15752320187295196,Corridor
0.0792319657124688,Corridor
0.05297275361993163,Corridor
0.04061712570099665,Corridor
0.07323164761531237,Corridor
0.13833214074525885,Corridor
0.15462777686067433,Corridor
0.12583287664052561,Corridor
0.021378947614898235,Corridor
0.0993653048241302,Corridor
0.10586923292172051,Corridor
0.13310067281135415,Corridor
0.061246022966729215,Corridor
0.33292210852621745,Corridor
0.6666352961052556,Corridor
0.7254827287115464,Corridor
0.45822577099050493,Corridor
0.12780914717822872,Corridor
0.1777283075987594,Corridor
0.20392209855688007,Corridor
0.05923913971170384,Corridor
0.08882298871461111,Corridor
0.1528464386548923,Corridor
0.1490310981275968,Corridor
0.41075981228997255,Corridor
0.6239433515559758,Corridor
0.5652873304950288,Corridor
0.25733302189076357,Corridor
0.06841282513060408,Corridor
0.1742741802747903,Corridor
0.1524477748297822,Corridor
0.07061820160770374,Corridor
0.08890066321578162,Corridor
0.08569403309794647,Corridor
0.15562439468429604,Corridor
0.10293239255499474,Corridor
0.051288420570658806,Corridor
0.03650378850379493,Corridor
0.0398464610401387,Corridor
0.07676161073650493,Corridor
0.10331865459760466,Corridor
0.18534173230419146,Corridor
0.19186036988703115,Corridor
0.11285457030106426,Corridor
0.10389162561426245,Corridor
0.11731400495687017,Corridor
0.13074190718008216,Corridor
0.1315049750999435,Corridor
0.0700354511093256,Corridor
0.08122017626561623,Corridor
0.0727842096705899,Corridor
0.07709856088473616,Corridor
0.13641982400313998,Corridor
0.11563778809213782,Corridor
0.049043427840453825,Corridor
0.06984663321976528,Corridor
0.13001733731336274,Corridor
0.15430059471533397,Corridor
0.1519365311538003,Corridor
