T_FR_HIP,T_FR_THIGH,T_FR_CALF,T_FL_HIP,T_FL_THIGH,T_FL_CALF,T_RR_HIP,T_RR_THIGH,T_RR_CALF,T_RL_HIP,T_RL_THIGH,T_RL_CALF,Environment
8.36685591938907e-06,5.5249243800028206e-05,1.3182337791952794e-05,8.36685591938907e-06,5.5249243800028206e-05,1.3182337791952794e-05,8.36685591938907e-06,5.5249243800028206e-05,1.3182337791952794e-05,8.36685591938907e-06,5.5249243800028206e-05,1.3182337791952794e-05,Running
1.4900624598326545e-05,0.00017136869893387167,4.207019065062193e-05,1.4900624598326545e-05,0.00017136869893387167,4.207019065062193e-05,1.4900624598326545e-05,0.00017136869893387167,4.207019065062193e-05,1.4900624598326545e-05,0.00017136869893387167,4.207019065062193e-05,Running
5.252108284674387e-06,2.645184241350454e-05,6.145378616752795e-06,5.252108284674387e-06,2.645184241350454e-05,6.145378616752795e-06,5.252108284674387e-06,2.645184241350454e-05,6.145378616752795e-06,5.252108284674387e-06,2.645184241350454e-05,6.145378616752795e-06,Running
2.1232967106861593e-05,0.0002240736534154447,5.4922793714447506e-05,2.1232967106861593e-05,0.0002240736534154447,5.4922793714447506e-05,2.1232967106861593e-05,0.0002240736534154447,5.4922793714447506e-05,2.1232967106861593e-05,0.0002240736534154447,5.4922793714447506e-05,Running
1.664128945092233e-05,0.0002154107640595258,5.2902309191790344e-05,1.664128945092233e-05,0.0002154107640595258,5.2902309191790344e-05,1.664128945092233e-05,0.0002154107640595258,5.2902309191790344e-05,1.664128945092233e-05,0.0002154107640595258,5.2902309191790344e-05,Running
2.574950268848417e-05,0.000186097037303046,4.5595317272141325e-05,2.574950268848417e-05,0.000186097037303046,4.5595317272141325e-05,2.574950268848417e-05,0.000186097037303046,4.5595317272141325e-05,2.574950268848417e-05,0.000186097037303046,4.5595317272141325e-05,Running
2.805203998491512e-05,0.00028304677745826325,6.94549942371209e-05,2.805203998491512e-05,0.00028304677745826325,6.94549942371209e-05,2.805203998491512e-05,0.00028304677745826325,6.94549942371209e-05,2.805203998491512e-05,0.00028304677745826325,6.94549942371209e-05,Running
2.0812348160062856e-05,0.00024805920497726885,6.093397034301189e-05,2.0812348160062856e-05,0.00024805920497726885,6.093397034301189e-05,2.0812348160062856e-05,0.00024805920497726885,6.093397034301189e-05,2.0812348160062856e-05,0.00024805920497726885,6.093397034301189e-05,Running
1.6805306747243958e-05,0.00012191716369263199,2.988969740350902e-05,1.6805306747243958e-05,0.00012191716369263199,2.988969740350902e-05,1.6805306747243958e-05,0.00012191716369263199,2.988969740350902e-05,1.6805306747243958e-05,0.00012191716369263199,2.988969740350902e-05,Running
1.2904310206688563e-05,0.0001623830359084744,3.987266230770212e-05,1.2904310206688563e-05,0.0001623830359084744,3.987266230770212e-05,1.2904310206688563e-05,0.0001623830359084744,3.987266230770212e-05,1.2904310206688563e-05,0.0001623830359084744,3.987266230770212e-05,Running
1.3125033820470013e-05,0.00016985142267801368,4.172741379470954e-05,1.3125033820470013e-05,0.00016985142267801368,4.172741379470954e-05,1.3125033820470013e-05,0.00016985142267801368,4.172741379470954e-05,1.3125033820470013e-05,0.00016985142267801368,4.172741379470954e-05,Running
