jmag,Environment
51.74789166789789,Running
4.861621576363321,Running
0.535901353994465,Running
1.49617671084976,Running
0.44644930709308134,Running
0.9266598624602738,Running
0.9551127925943731,Running
0.9245769358968435,Running
1.8439877853498048,Running
1.0138465591828083,Running
1.8480418734092443,Running
1.6014450720441358,Running
0.9183897548132205,Running
1.5370519094438089,Running
0.8253299250706126,Running
1.538938499321779,Running
0.4081197379108279,Running
0.8391601461031059,Running
0.1657448357713142,Running
0.7318244759072055,Running
0.4315553559696165,Running
1.3943632463864408,Running
0.902039312667909,Running
1.1884010959515314,Running
1.362824695373344,Running
0.5112113967209021,Running
0.5931152988009426,Running
1.0233460648296853,Running
1.2016431290158913,Running
1.4434567304504213,Running
0.41101119957868737,Running
1.3157243947992368,Running
0.45867222446513267,Running
0.7435282317821824,Running
0.4934370917342537,Running
0.22985562679791588,Running
0.5994245463159519,Running
0.5213371102338948,Running
0.39565699027022655,Running
0.9378864043668899,Running
0.43706187770556154,Running
0.7780959140507565,Running
0.3040779034254078,Running
0.3838826105438231,Running
0.5274597441046202,Running
1.1841204896744484,Running
2.6137398699102925,Running
6.847700488175569,Running
14.021731306882515,Running
11.295947131503736,Running
31.78778390959205,Running
64.6211904798373,Running
16.81261117250308,Running
56.03746346486704,Running
22.401582796162373,Running
32.03123311072915,Running
59.54663851334456,Running
18.827758501000414,Running
46.07172512694489,Running
39.1558873686377,Running
40.87241449498314,Running
48.35588133710132,Running
45.263264910761485,Running
22.469728099478004,Running
23.721625026074484,Running
26.25086630224279,Running
23.625017179378318,Running
29.566680788198674,Running
9.558699461415456,Running
22.222314594715854,Running
18.30480205980813,Running
14.253236414228692,Running
24.21027894801035,Running
30.447489180989226,Running
21.77923978632153,Running
37.547216637056174,Running
16.549899764527066,Running
16.83743866829598,Running
25.63892275971687,Running
6.469178178481454,Running
17.345364823811178,Running
11.814361779086061,Running
16.666106799449068,Running
23.896259638063704,Running
12.260744411716901,Running
44.53546284115369,Running
26.97618434990555,Running
54.01496554703127,Running
43.13490250148853,Running
48.24811928561173,Running
37.994556969653125,Running
23.536402838438356,Running
