time,total_torque,footforce,d_footforce_dt,environment
5822.73,0.06889626276620514,1050.4156320238194,-202.6719283417325,Running
5822.83,0.002226855641448116,1050.9490948661596,9.07067833298129,Running
5822.93,0.001547170512213949,1049.4851118524741,-15.317962597191272,Running
5823.03,0.0019141102435784093,1049.4508087566562,7.616379550550506,Running
5823.13,0.0012629509516495175,1049.5983476771562,-6.651770992897819,Running
5823.24,4.517368040593244e-05,1048.9509044755146,0.6965363977567491,Running
5823.34,0.0006345904683202445,1049.9285689988628,13.070386136044387,Running
5823.44,0.00020547581593544943,1050.4752238363933,-7.086776952250567,Running
5823.54,0.0006860492804859113,1049.4288923028564,-0.4389462730108055,Running
5823.64,0.00045546688572807397,1049.9285689988628,-6.285514144193737,Running
5823.74,0.0006677251827978964,1048.417378718991,-3.9470486369033586,Running
5823.84,0.00040576583739348283,1049.9285689988628,21.03640725967777,Running
5823.94,0.0003071937500454803,1050.8615512996944,-7.330789272704633,Running
5824.04,0.0009133580567312807,1049.3955402992715,-8.32143348751893,Running
5824.14,0.00015139731725972687,1049.4508087566562,-0.5824297735525805,Running
5824.24,0.001200917656947015,1048.9175372735456,-2.8543956495985285,Running
5824.35,0.0011398174508089538,1049.3955402992715,9.780976675640828,Running
5824.45,0.0010297674290546859,1049.9285689988628,-5.7416557606981025,Running
5824.55,0.0015222152467211968,1049.3955402992715,12.117918605760487,Running
5824.65,0.0013192220939213743,1051.393836770979,0.9698686752593454,Running
5824.75,0.0006744486713735399,1049.4508087566562,-14.357897575975402,Running
5824.85,0.0008606400336914604,1049.55690148413,1.8720546550260764,Running
5824.95,0.0008988154811727729,1048.8956096771499,-8.403376001295534,Running
5825.05,0.0010700865586975236,1048.8956096771499,10.808746891120139,Running
5825.15,0.0007795279920730015,1049.8742781876315,-5.611110766217671,Running
5825.25,0.0008466548510371237,1047.9303411963983,-16.21630985106181,Running
5825.35,0.0005969036743966632,1047.9303411963983,12.3947010383798,Running
5825.46,0.00036489695710308285,1049.732810489713,19.944916668239923,Running
5825.56,0.0008977257992229115,1050.4070639518757,-18.672989679535238,Running
5825.66,0.0004945259751358001,1047.9303411963983,0.44815678676221843,Running
5825.76,0.0003814985506774697,1049.8742781876315,2.325906843176438,Running
5825.86,0.0007340757369147648,1048.4087943164154,4.165748099461496,Running
5825.96,0.0004398588688333431,1050.4070639518757,-3.469166990755674,Running
5826.06,0.0012639781791015734,1047.9303411963983,-4.551602107693839,Running
5826.16,0.0013460993520991813,1049.9285689988628,7.692493671470965,Running
5826.26,0.00023581104655663758,1048.417378718991,-11.123788630206239,Running
5826.36,0.0005378569177122511,1049.3955402992715,19.686026281297195,Running
5826.46,0.0010467293126260211,1050.1842418026201,-14.011225903339808,Running
5826.56,0.0005100619828262233,1048.417378718991,6.078598812767075,Running
5826.67,0.0008716467506602491,1050.4070639518757,-3.0438898937679038,Running
5826.77,0.0009926786777041544,1047.9303411963983,-8.027445156867593,Running
5826.87,0.0010827372963742655,1049.387916835333,4.8558073070908065,Running
5826.97,0.000514599289199776,1048.4087943164154,3.1811242108253355,Running
5827.07,0.0006365038590066107,1050.4289599968197,12.494900416252863,Running
5827.17,0.0007335859744140912,1049.9209494052398,-8.101752021014681,Running
5827.27,0.000396297556598385,1049.8742781876315,2.9741818146385284,Running
5827.37,0.0006135762225509219,1049.8742781876315,-4.419882852916594,Running
5827.47,0.0008656803506951612,1049.3955402992715,0.5849704444280115,Running
5827.57,0.0029420976933657635,1049.8885655154074,2.3704897738561552,Running
5827.67,0.007271972817027125,1049.8961853440558,4.6164909987232035,Running
5827.77,0.012520860132677857,1050.4070639518757,-5.38851252829918,Running
5827.88,0.007201355270621459,1049.4098341448873,1.8953953880080388,Running
5827.98,0.044748680440579114,1050.4070639518757,1.1684027606322431,Running
5828.08,0.022905594606603408,1048.9089569643306,-33.01113842165943,Running
5828.18,0.03534466567846465,1049.4422328075043,109.81295517117236,Running
5828.28,0.049762273786097724,1048.8879825796462,-312.23433230000796,Running
5828.38,0.026045425225864546,1056.4236839450355,1300.6828599494063,Running
5828.48,0.037671811503121815,1295.12007165359,2293.930195949249,Running
5828.58,0.07440210749110815,1337.1634155928737,-2097.03676973754,Running
5828.68,0.039353953922403984,1041.9856045070871,-1430.8281476049683,Running
5828.78,0.10409656970652384,1112.5744918880712,1214.3070372696025,Running
5828.88,0.12050851679968992,1148.7266863793145,-170.75625515958646,Running
5828.98,0.07262483976278002,1110.5667570619937,-641.8271991215012,Running
5829.09,0.1959499187711763,1114.5084118121317,1670.1587696889721,Running
5829.19,0.0930954418754103,1342.4913407541965,902.1089190202251,Running
5829.29,0.09839340827738269,1276.6354217238372,-529.5625646791634,Running
5829.39,0.13657834999713855,1336.1429564234509,920.0653906405556,Running
5829.49,0.1290515923423517,1322.253757793866,-1627.7796820219903,Running
5829.59,0.04990768650007385,1114.919279589334,-974.2873344068405,Running
5829.69,0.10728456869698443,1215.02119998995,2312.370226231958,Running
5829.79,0.09477891173659138,1350.1211056790423,-1208.854257103877,Running
5829.89,0.04215156922477162,1165.1429096896227,791.3743472761324,Running
5829.99,0.07246877383675672,1371.2206241156089,-1206.2173245844103,Running
5830.09,0.0800244260549993,942.3300907856016,-2508.2924127474334,Running
5830.19,0.14370822172854655,1069.1239404297332,2153.5024830382686,Running
