angular_mag,Environment
0.0006892395155742305,Running
0.00045298289094870906,Running
0.000756371488779158,Running
0.0007250115786371967,Running
0.0008599317576767356,Running
0.0008309814018780745,Running
0.0007430410784996749,Running
0.0006445540867095639,Running
0.0008683161585511351,Running
0.0007253061133703203,Running
0.0008640040705749019,Running
0.0008397167628123187,Running
0.001159189930405281,Running
0.0008102993846258306,Running
0.0011367980095469906,Running
0.0009580972224833188,Running
0.0006930825219106307,Running
0.0008985733094172116,Running
0.0009101146920031562,Running
0.0007734048558045133,Running
0.0006764294268037132,Running
0.0011516652794327873,Running
0.001182114981341849,Running
0.0011210832783486693,Running
0.000897480648645418,Running
0.0009555930477342329,Running
0.0009257565566935025,Running
0.00108229949165007,Running
0.0010468723568047827,Running
0.0012036953458849128,Running
0.0012162465362894153,Running
0.0010347001869407436,Running
0.001098681069800058,Running
0.0009868675357093272,Running
0.001124627707859361,Running
0.001144286072689085,Running
0.0011364281423442487,Running
0.0013485369807828779,Running
0.0009284478519987,Running
0.0011687847746043752,Running
0.0011927739005394107,Running
0.001229186956897119,Running
0.001127047806558799,Running
0.0011559709674477123,Running
0.0011061363523951285,Running
0.0011175869484925994,Running
0.0012677460049020071,Running
0.0011530153412612038,Running
0.0014696954018493613,Running
0.010173815726236888,Running
0.012253977119633446,Running
0.026056156910123952,Running
0.03391060998094549,Running
0.024670548211290323,Running
0.0205897378310774,Running
0.03252977285426383,Running
0.01768418609888507,Running
0.01271458579618306,Running
0.03956378585118087,Running
0.026080740562476366,Running
0.0390762738557926,Running
0.022640694303302625,Running
0.02748663282652133,Running
0.03629435723649063,Running
0.028878364052642266,Running
0.049199124602607516,Running
0.0606566118387567,Running
0.04155560774244073,Running
0.045414420995658414,Running
0.04893639212712764,Running
0.041794896527435024,Running
0.05907406891741926,Running
0.046414830202081966,Running
0.05117114648292043,Running
0.06159511386839057,Running
0.04674558764001154,Running
0.057647455845076113,Running
0.08572048468318409,Running
0.05729546827839005,Running
0.0640275580102818,Running
0.07513400787453042,Running
0.056791113830566835,Running
0.06070979491655363,Running
0.06371057060182399,Running
0.06025026028194069,Running
0.06858059095793795,Running
0.052643926957692856,Running
0.05919396084644109,Running
0.08129058780289389,Running
0.06988235630074376,Running
0.07886157634665947,Running
0.09596829974950062,Running
0.07825875723629913,Running
0.09100751558530756,Running
0.11149963825501856,Running
0.1010797195821694,Running
0.14169488147374978,Running
0.1721983461135443,Running
0.19412008486768725,Running
0.1906515226736991,Running
0.17416973663205673,Running
0.17547358131653323,Running
0.1782484493208847,Running
0.16648304390705979,Running
0.16674880800701394,Running
0.1810467567800398,Running
0.18297049308765606,Running
0.18040720748021682,Running
0.18689063065969896,Running
0.18032876841771533,Running
0.18661290606284445,Running
0.17642351789180488,Running
0.18656462533444573,Running
0.19067325105071764,Running
0.18892410864548298,Running
0.1890642286196892,Running
0.19183430036291738,Running
0.1843589537243038,Running
0.19173815004325562,Running
0.20230986893419214,Running
0.2608462736417007,Running
0.34899473322152014,Running
0.43328075765180274,Running
0.4593412800476648,Running
0.45841639885542923,Running
0.4642985971478484,Running
0.5378996203945978,Running
0.6509913148617652,Running
0.8077057552308513,Running
0.9176875398550478,Running
0.9728400699219477,Running
0.9900061786210882,Running
0.9903121764953564,Running
1.0001925220796495,Running
1.0776029068029467,Running
1.164115449751193,Running
1.2813403689973597,Running
1.4094557059680306,Running
1.4912644771039643,Running
1.618217085646487,Running
1.6450002652700095,Running
1.6593323682901988,Running
1.6684172901264869,Running
1.664339188084331,Running
1.6666251295718213,Running
1.6745154176870691,Running
1.6657363047803846,Running
1.6706686752040334,Running
1.688431559215312,Running
1.789084858946688,Running
1.9803963908213553,Running
2.2686777349703,Running
2.539102179699352,Running
2.677384542620594,Running
2.7541419396757116,Running
2.7849701199046017,Running
2.782166643293676,Running
2.7861892471692946,Running
2.7854504880262314,Running
2.7742762091879536,Running
2.773068870281691,Running
2.773271597854031,Running
2.7773297669010937,Running
2.7798143835984583,Running
2.7792829494199376,Running
2.7839689596098767,Running
2.7846066009614967,Running
2.790209393133217,Running
