d_footforce_dt,Environment
143.05802725021667,Running
-61.38612117947681,Running
-27.203393735331897,Running
14.694482730461175,Running
-2.3168484720781963,Running
-38.858378621226315,Running
9.994623686813888,Running
29.12366976805216,Running
7.325533837912788,Running
-17.110544570843686,Running
-6.066951017199903,Running
13.210192686792231,Running
-1.9277423498708481,Running
-10.402345799256908,Running
3.4497957645115074,Running
12.556258036351839,Running
-5.191940645940794,Running
-14.797807736638706,Running
25.644819477303866,Running
-24.586799846906004,Running
16.417389219976485,Running
-98.53092458583998,Running
1859.2839750731705,Running
