angular_vel_mag,Environment
0.08222373333279605,Running
0.012005739012190984,Running
0.0049667867891515,Running
0.0005437909646596468,Running
0.0017145007710734788,Running
0.003258753939579487,Running
0.0008899232085513928,Running
0.0020577301822436098,Running
0.001923812910103881,Running
0.002483551993158757,Running
0.001410298314755007,Running
0.0014735701738885893,Running
0.0015917971198562166,Running
0.0019309587011740895,Running
0.0034804398394716386,Running
0.0010174021640443995,Running
0.0032943086305726346,Running
0.004072400435332149,Running
0.004052073682260999,Running
0.003804922496996978,Running
0.002351334868539629,Running
0.0009733032195677942,Running
0.002229899631314277,Running
0.0034059841731963574,Running
0.003891410260321235,Running
0.002029414065796469,Running
0.0018268707944554075,Running
0.0035526006011134537,Running
0.001155279558403024,Running
0.002052535647081516,Running
0.0006944000347243513,Running
0.002456169010639132,Running
0.0038019139721398236,Running
0.003356955463095961,Running
0.0018936509871974522,Running
0.002419077351572861,Running
0.0016353276626718462,Running
0.001767118509063188,Running
0.0030610279297031587,Running
0.0026998343772847446,Running
0.002649192434890734,Running
0.0019269743601108555,Running
0.0029644928676602405,Running
0.0011670468250183927,Running
0.0007773241868109136,Running
0.002191238320046568,Running
0.002005602893606744,Running
0.001355770588298685,Running
0.0009069782493129358,Running
0.005167530509402208,Running
0.018523666002960005,Running
0.07403913727808678,Running
0.05845307572756765,Running
0.1999678209770531,Running
0.16215374203105543,Running
0.08834404473036149,Running
0.14638918422623284,Running
0.1317315864426982,Running
0.05333958412636873,Running
0.2215639556600649,Running
0.1830511767079188,Running
0.2533373285650444,Running
0.4744004856538101,Running
0.032878163614704824,Running
0.4041979961226051,Running
0.39836114189798555,Running
0.24135804850937592,Running
0.203082091162105,Running
0.3890241718153926,Running
0.18803445022570775,Running
0.16472999138745717,Running
0.16305245044188896,Running
0.19329167095676017,Running
0.30027439011059853,Running
0.12108897719337414,Running
0.35993231622851984,Running
0.32796883495877266,Running
0.1086948840829652,Running
0.2778876451095362,Running
0.4874509011740631,Running
0.14466803350322063,Running
0.29025152370972157,Running
0.3592508699394013,Running
0.22460633081835213,Running
0.18022982887708455,Running
0.23997164017379527,Running
0.30694650409752133,Running
0.23040502568184865,Running
0.13677299219395334,Running
0.3770210643115283,Running
0.5787689007751253,Running
0.3046677058506717,Running
0.16486190806360587,Running
0.578804039156459,Running
0.1921947185005557,Running
0.17104856599324547,Running
0.4978687620655226,Running
0.24295490095876943,Running
0.35078102560990415,Running
0.4457438929933605,Running
0.5889227490024025,Running
0.4159946090022471,Running
0.17471793639208716,Running
0.47094886530861335,Running
0.3845118825173084,Running
0.2686088128795083,Running
0.35166291667738325,Running
0.2609578536547072,Running
0.20656487929694234,Running
0.15208537182125423,Running
0.28203742309723767,Running
0.18427855889680403,Running
0.28467189014252164,Running
0.05542477682660685,Running
0.40807925199388617,Running
0.4122464337804982,Running
0.13606949639015595,Running
0.2718185767856106,Running
0.4564518238221706,Running
0.19989280995924433,Running
0.29639397248610383,Running
0.3174534332463485,Running
0.5052758519991768,Running
0.8486640287589604,Running
0.9503155884895583,Running
0.6779071452281346,Running
0.5683382850984201,Running
0.3289090929091564,Running
0.717920756990698,Running
1.0030126361207603,Running
1.5331594235177506,Running
1.6061809515759844,Running
1.0490962042503913,Running
0.41816299745867996,Running
0.25093245953569016,Running
0.795933689355104,Running
0.7745010992467309,Running
0.9342729437161329,Running
1.0720441120046083,Running
1.558505297903304,Running
1.031660565728319,Running
1.1105281974910384,Running
0.8601699887594694,Running
1.5282885503809245,Running
0.25565120277076725,Running
0.4199867888549475,Running
0.986382375500496,Running
0.188415143233771,Running
0.37444453396121535,Running
0.38142356148797485,Running
0.13425869920390562,Running
0.6169344806199727,Running
1.4606290503197323,Running
2.484008064362629,Running
2.968118384679129,Running
2.116601253010969,Running
1.058796633099192,Running
0.5242229203077594,Running
0.21963899847003568,Running
0.11528566652829633,Running
0.10078940907166176,Running
0.21519510894987176,Running
0.21783374232194133,Running
0.3074576741265995,Running
0.28808427655506386,Running
0.2136841140116329,Running
0.35345607624096764,Running
0.3685405334235062,Running
0.2501168611098353,Running
0.292879783371444,Running
0.41089010941401594,Running
0.17865835397425742,Running
0.22718824340187313,Running
0.3430470052877393,Running
0.383596571118991,Running
4.843451323060404,Running
34.054912115247056,Running
33.89871067327847,Running
4.910415633909795,Running
0.4292571562293207,Running
0.44796789109090296,Running
0.29400555964729486,Running
0.16300179974368173,Running
0.4292021463677531,Running
0.3924278311248201,Running
0.14878539969733418,Running
0.3639743198504791,Running
0.3238076456425499,Running
0.19751759439815628,Running
0.23099144708589459,Running
0.2812065956140353,Running
0.2080426394847527,Running
0.28626830246388246,Running
0.0862856489381526,Running
0.5264720890063826,Running
0.39365890207914517,Running
0.14476538910744347,Running
0.2906504597215784,Running
0.3684739235858045,Running
0.1769816170225301,Running
0.28362657995848317,Running
0.3533111128972504,Running
0.27122451339104486,Running
0.21381110421645233,Running
0.32364917222164347,Running
0.35355032032127826,Running
0.2976423124964291,Running
0.08963701836329051,Running
0.35079903287550956,Running
0.46231288943679955,Running
0.14066061072362404,Running
0.2782670097378087,Running
0.3637995221152202,Running
0.22471468037129905,Running
0.10974814312358525,Running
0.35287959334302504,Running
0.3449876816294391,Running
0.20094857876768712,Running
0.11064223566779123,Running
0.30090491139878217,Running
0.47351356885970847,Running
0.10332447694597852,Running
0.3470617629490503,Running
0.453198968482111,Running
0.2608227062035241,Running
0.2611878915659961,Running
0.3746117493695123,Running
0.32169014945164115,Running
0.17769751565158703,Running
0.29117197541960005,Running
0.24352381292696726,Running
0.32244610353269487,Running
0.23882897159037583,Running
0.41713680230626965,Running
0.5041253767314047,Running
0.5446520456663188,Running
1.1304952848599383,Running
2.016704834488634,Running
2.8209487196449032,Running
2.958743844619769,Running
1.7456781386013651,Running
0.7530622374059833,Running
0.4223673642774285,Running
0.09776958302923873,Running
0.06362110545158713,Running
0.27297505331841104,Running
0.2840536197647722,Running
0.12082312842661712,Running
0.2552647657976164,Running
0.29374230761837167,Running
0.16349321968446112,Running
0.19857440935714749,Running
0.38182103564198766,Running
0.23518452132345527,Running
0.37034230107645577,Running
0.7838724706532759,Running
1.7695170623085186,Running
2.228007869609966,Running
2.6938243879393053,Running
2.605073506584175,Running
1.5183441139781282,Running
0.6980684442272729,Running
0.2958825882470012,Running
0.1372972252394424,Running
0.2816610898659077,Running
0.28601390195584314,Running
0.07816838936044941,Running
0.26968947267057314,Running
0.1588234245708708,Running
0.11529646585953318,Running
0.2713068848116787,Running
0.1563047774473453,Running
0.8398938242630822,Running
