elapsed time,receive time,header.stamp,topic,value
0,1694525091.631106505,,/high_state.footForce[:],502
0,1694525091.631106505,,/high_state.footForce[:],525
0,1694525091.631106505,,/high_state.footForce[:],512
0,1694525091.631106505,,/high_state.footForce[:],560
0.000063895,1694525091.631106505,,/high_state.footForce[:],502
0.000063895,1694525091.631106505,,/high_state.footForce[:],525
0.000063895,1694525091.631106505,,/high_state.footForce[:],512
0.000063895,1694525091.631106505,,/high_state.footForce[:],560
0.000088689,1694525091.631106505,,/high_state.footForce[:],502
0.000088689,1694525091.631106505,,/high_state.footForce[:],525
0.000088689,1694525091.631106505,,/high_state.footForce[:],512
0.000088689,1694525091.631106505,,/high_state.footForce[:],560
0.001528267,1694525091.631106505,,/high_state.footForce[:],502
0.001528267,1694525091.631106505,,/high_state.footForce[:],525
0.001528267,1694525091.631106505,,/high_state.footForce[:],512
0.001528267,1694525091.631106505,,/high_state.footForce[:],560
0.003310407,1694525091.631106505,,/high_state.footForce[:],502
0.003310407,1694525091.631106505,,/high_state.footForce[:],525
0.003310407,1694525091.631106505,,/high_state.footForce[:],512
0.003310407,1694525091.631106505,,/high_state.footForce[:],560
0.005299748,1694525091.631106505,,/high_state.footForce[:],502
0.005299748,1694525091.631106505,,/high_state.footForce[:],525
0.005299748,1694525091.631106505,,/high_state.footForce[:],512
0.005299748,1694525091.631106505,,/high_state.footForce[:],560
0.0074027450000000005,1694525091.631106505,,/high_state.footForce[:],502
0.0074027450000000005,1694525091.631106505,,/high_state.footForce[:],525
0.0074027450000000005,1694525091.631106505,,/high_state.footForce[:],512
0.0074027450000000005,1694525091.631106505,,/high_state.footForce[:],560
0.009379029,1694525091.631106505,,/high_state.footForce[:],503
0.009379029,1694525091.631106505,,/high_state.footForce[:],526
0.009379029,1694525091.631106505,,/high_state.footForce[:],512
0.009379029,1694525091.631106505,,/high_state.footForce[:],561
0.011506784,1694525091.631106505,,/high_state.footForce[:],503
0.011506784,1694525091.631106505,,/high_state.footForce[:],526
0.011506784,1694525091.631106505,,/high_state.footForce[:],512
0.011506784,1694525091.631106505,,/high_state.footForce[:],561
0.013421449,1694525091.631106505,,/high_state.footForce[:],503
0.013421449,1694525091.631106505,,/high_state.footForce[:],526
0.013421449,1694525091.631106505,,/high_state.footForce[:],512
0.013421449,1694525091.631106505,,/high_state.footForce[:],561
0.015453826,1694525091.631106505,,/high_state.footForce[:],503
0.015453826,1694525091.631106505,,/high_state.footForce[:],526
0.015453826,1694525091.631106505,,/high_state.footForce[:],512
0.015453826,1694525091.631106505,,/high_state.footForce[:],561
0.017505152,1694525091.631106505,,/high_state.footForce[:],503
0.017505152,1694525091.631106505,,/high_state.footForce[:],526
0.017505152,1694525091.631106505,,/high_state.footForce[:],512
0.017505152,1694525091.631106505,,/high_state.footForce[:],561
0.019438988,1694525091.631106505,,/high_state.footForce[:],503
0.019438988,1694525091.631106505,,/high_state.footForce[:],526
0.019438988,1694525091.631106505,,/high_state.footForce[:],512
0.019438988,1694525091.631106505,,/high_state.footForce[:],561
0.021337579000000002,1694525091.631106505,,/high_state.footForce[:],503
0.021337579000000002,1694525091.631106505,,/high_state.footForce[:],526
0.021337579000000002,1694525091.631106505,,/high_state.footForce[:],512
0.021337579000000002,1694525091.631106505,,/high_state.footForce[:],561
0.023663424000000002,1694525091.631106505,,/high_state.footForce[:],503
0.023663424000000002,1694525091.631106505,,/high_state.footForce[:],526
0.023663424000000002,1694525091.631106505,,/high_state.footForce[:],512
0.023663424000000002,1694525091.631106505,,/high_state.footForce[:],561
0.061529763,1694525091.631106505,,/high_state.footForce[:],503
0.061529763,1694525091.631106505,,/high_state.footForce[:],526
0.061529763,1694525091.631106505,,/high_state.footForce[:],512
0.061529763,1694525091.631106505,,/high_state.footForce[:],561
0.061599123000000006,1694525091.631106505,,/high_state.footForce[:],503
0.061599123000000006,1694525091.631106505,,/high_state.footForce[:],526
0.061599123000000006,1694525091.631106505,,/high_state.footForce[:],512
0.061599123000000006,1694525091.631106505,,/high_state.footForce[:],561
0.061651419000000006,1694525091.631106505,,/high_state.footForce[:],503
0.061651419000000006,1694525091.631106505,,/high_state.footForce[:],527
0.061651419000000006,1694525091.631106505,,/high_state.footForce[:],512
0.061651419000000006,1694525091.631106505,,/high_state.footForce[:],560
0.061671797,1694525091.631106505,,/high_state.footForce[:],503
0.061671797,1694525091.631106505,,/high_state.footForce[:],527
0.061671797,1694525091.631106505,,/high_state.footForce[:],512
0.061671797,1694525091.631106505,,/high_state.footForce[:],560
0.061710144,1694525091.631106505,,/high_state.footForce[:],503
0.061710144,1694525091.631106505,,/high_state.footForce[:],527
