jmag,angular_vel_mag,Environment
30.60987617,0.07224821,Corridor
11.80211678,0.245870475,Corridor
16.79418222,0.038284564,Corridor
22.30390341,0.207214577,Corridor
14.36904192,0.235364965,Corridor
19.37445712,0.122355884,Corridor
10.62591502,0.315312786,Corridor
11.39908257,0.298469019,Corridor
11.4970444,0.034096991,Corridor
5.555756532,0.113287494,Corridor
18.28860897,0.198666629,Corridor
10.66793396,0.087641046,Corridor
10.89540142,0.075543398,Corridor
26.93288713,0.19197518,Corridor
33.53418383,0.290192176,Corridor
18.7051596,0.083280229,Corridor
28.68860302,0.189555594,Corridor
14.97467782,0.022986227,Corridor
5.482210142,0.187141932,Corridor
16.17856225,0.046895346,Corridor
11.19992738,0.137455519,Corridor
23.46050786,0.14548637,Corridor
4.557565202,0.079771314,Corridor
28.7587406,0.091315003,Corridor
12.72362835,0.212449368,Corridor
11.9603051,0.193375761,Corridor
15.28548751,0.221916022,Corridor
13.0641974,0.15204914,Corridor
17.48306037,0.130237563,Corridor
17.91026375,0.128057385,Corridor
12.11030753,0.115352294,Corridor
16.98390919,0.164982801,Corridor
9.209307717,0.12769399,Corridor
37.97402917,0.167557621,Corridor
23.38319196,0.126117387,Corridor
11.01983216,0.245615876,Corridor
32.23003512,0.170293212,Corridor
15.67223924,0.189401639,Corridor
10.69113007,0.227524164,Corridor
18.49107509,0.109888771,Corridor
30.16416915,0.133015474,Corridor
5.863072641,0.415709842,Corridor
26.92268583,0.805522661,Corridor
24.18257248,0.492564837,Corridor
5.446952489,0.08051159,Corridor
19.99476334,0.046734596,Corridor
23.90176203,0.1667565,Corridor
26.91549065,0.229658022,Corridor
36.02674389,0.16994592,Corridor
18.10189988,0.24825423,Corridor
22.82570213,0.219937959,Corridor
14.1884269,0.272212748,Corridor
15.11418671,0.199962921,Corridor
12.56619183,0.056956828,Corridor
9.373532714,0.122598138,Corridor
17.58208491,0.0711984,Corridor
13.20664225,0.203098135,Corridor
14.45883573,0.148242511,Corridor
11.35769121,0.0531743,Corridor
25.05831432,0.201313686,Corridor
6.893609704,0.154512315,Corridor
20.72084612,0.167483894,Corridor
6.745041227,0.103825669,Corridor
16.14498531,0.193547107,Corridor
18.73594913,0.061228973,Corridor
14.7189381,0.180767442,Corridor
20.45780761,0.143462483,Corridor
17.02048135,0.041211539,Corridor
14.07997281,0.1210407,Corridor
9.180145622,0.102043074,Corridor
19.54565753,0.210390898,Corridor
10.90864701,0.090664769,Corridor
15.77564584,0.158828937,Corridor
10.52739813,0.174470863,Corridor
17.84520823,0.171307138,Corridor
20.9561432,0.232704241,Corridor
11.54832906,0.226100964,Corridor
13.04958951,0.202515053,Corridor
3.280350017,0.060231235,Corridor
20.8951319,0.115452269,Corridor
10.91965556,0.15655406,Corridor
15.20645911,0.230214234,Corridor
18.77010416,0.075817816,Corridor
23.34294625,0.079352734,Corridor
23.60953211,0.107440913,Corridor
8.444639397,0.193812704,Corridor
27.62566885,0.138046287,Corridor
26.96545507,0.115416761,Corridor
2.712558164,0.219411385,Corridor
22.37043553,0.793089375,Corridor
15.63835394,0.855542315,Corridor
4.347615477,0.337558743,Corridor
14.97512801,0.090877735,Corridor
15.51874718,0.234091283,Corridor
14.78772209,0.172672793,Corridor
11.78099542,0.12153807,Corridor
22.47462323,0.09960929,Corridor
23.6801728,0.276582474,Corridor
47.44910363,0.172425951,Corridor
17.66571662,0.374508457,Corridor
35.49513634,0.821323469,Corridor
27.87029356,0.657198691,Corridor
12.29831871,0.113561287,Corridor
18.56554745,0.163518169,Corridor
11.23688517,0.099081367,Corridor
12.78380353,0.159797636,Corridor
11.67500673,0.164602426,Corridor
7.244388104,0.0539539,Corridor
21.70979139,0.156810461,Corridor
15.95867356,0.08118829,Corridor
9.80409796,0.371935738,Corridor
15.43952347,0.073644364,Corridor
15.22198315,0.254334064,Corridor
7.001473072,0.250964355,Corridor
6.8926769,0.04310559,Corridor
8.656716921,0.200713509,Corridor
11.51087958,0.156155102,Corridor
16.93838492,0.134794758,Corridor
13.48876535,0.179943168,Corridor
22.46946029,0.188716166,Corridor
