T_HIP,T_THIGH,T_CALF,Environment,time,footforce,d_footforce_dt,environment
0.0015579983577003716,0.005444055337403862,0.0011513388747795977,Parking,5233.55,920.4623838050092,50.858386296021855,Parking
4.988091111810146e-05,0.00012289625540850318,2.0759509140483682e-05,Parking,5233.65,921.9750538924576,49.86131423535541,Parking
8.087927853193824e-06,5.7117294092596523e-05,1.3876188526992334e-05,Parking,5233.75,921.9750538924576,47.90762310318055,Parking
2.1890892528569307e-05,6.950145268107012e-05,1.437737091090601e-05,Parking,5233.85,920.4623838050092,45.07436636288243,Parking
1.3050349688316774e-05,6.259918565468126e-05,1.465047834151185e-05,Parking,5233.95,921.9750538924576,41.46816316723214,Parking
6.5274903712334445e-06,7.765757358167552e-05,1.9040280877761354e-05,Parking,5234.05,920.7179490350695,37.21617241309072,Parking
3.3809212054542784e-06,1.7600552606668396e-05,4.120608332884217e-06,Parking,5234.15,919.9836955076976,32.45661430485831,Parking
8.649520024263227e-06,7.366188775164758e-05,1.8012505152879595e-05,Parking,5234.25,921.9750538924576,27.35633007107015,Parking
4.253486229260567e-06,3.103484147437914e-05,7.61319370059017e-06,Parking,5234.35,920.4623838050092,22.019215813600177,Parking
7.954558524731634e-06,5.124162417602541e-05,1.2455817681267371e-05,Parking,5234.45,921.9750538924576,16.582365177778932,Parking
2.85700923746563e-06,2.1942331028972206e-05,5.3782840980076525e-06,Parking,5234.56,919.9836955076976,11.176500728138937,Parking
5.429057777478308e-06,3.591137515294288e-05,8.743730249403123e-06,Parking,5234.66,921.9045503738442,5.913666945466566,Parking
3.3375245244120445e-06,3.5231873243129576e-05,8.607143329544204e-06,Parking,5234.76,920.6246770506069,0.857662717081619,Parking
6.885319193781919e-06,5.2319267719233906e-05,1.282697099509504e-05,Parking,5234.86,921.0276868802588,-3.8788737265009474,Parking
9.655966343362848e-06,9.990756515833684e-05,2.4531993334313824e-05,Parking,5234.96,921.9750538924576,-8.247899615292097,Parking
3.1670558708415636e-06,2.4917179575439173e-05,6.082510030988427e-06,Parking,5235.06,920.5492925422299,-12.152758508991724,Parking
1.3620140396235734e-05,0.0001476718912472938,3.6266619954706415e-05,Parking,5235.16,921.9750538924576,-15.606051150087657,Parking
5.719516019329314e-06,3.8288421420942376e-05,9.331447544544541e-06,Parking,5235.26,921.1473092243415,-18.572831260372627,Parking
9.750076652857584e-06,0.00011011502579562606,2.6997353140546464e-05,Parking,5235.36,920.9875134875608,-21.07592919872191,Parking
5.2373646354353205e-06,5.279586289139443e-05,1.2964599113255088e-05,Parking,5235.46,920.8113585893417,-23.16172927334724,Parking
8.556843251970237e-06,3.9446061587527804e-05,9.136612270553803e-06,Parking,5235.56,921.9750538924576,-24.84112777215268,Parking
9.598258855456078e-06,0.0001122060407226032,2.755714211804759e-05,Parking,5235.66,920.5492925422299,-25.85899274290371,Parking
1.2776291617831678e-05,7.846683155392574e-05,1.8763586347449482e-05,Parking,5235.77,919.5460836738962,-25.99618510972063,Parking
1.0366394053585349e-05,0.00012350493623534134,3.031822307931247e-05,Parking,5235.87,919.9836955076976,-25.55937723328597,Parking
1.2078027454402752e-05,6.391439275744997e-05,1.519820693877017e-05,Parking,5235.97,919.9836955076976,-24.796384114617943,Parking
5.359894355999653e-06,6.163553961741195e-05,1.5137201271390443e-05,Parking,5236.07,919.5460836738962,-23.85226916303566,Parking
1.3651103501215796e-05,9.769238902545505e-05,2.394230016282717e-05,Parking,5236.17,919.9836955076976,-22.855702568699694,Parking
5.441693565368008e-06,3.242452990265496e-05,7.81565329966028e-06,Parking,5236.27,921.9750538924576,-21.924150350137896,Parking
4.905870618928441e-06,2.5561326818277923e-05,5.98068498533371e-06,Parking,5236.37,920.4221857386967,-21.138806503092074,Parking
6.089739734712427e-06,5.045827363110271e-05,1.2308685248444542e-05,Parking,5236.47,919.4188381798581,-20.521675898713127,Parking
1.2161571541721678e-05,7.78371132574125e-05,1.890075514073832e-05,Parking,5236.57,920.4623838050092,-20.062081119479128,Parking
7.622502424494167e-06,6.147224022910826e-05,1.5076399696653297e-05,Parking,5236.68,919.9836955076976,-19.808181198197445,Parking
6.6971505647287285e-06,4.863839736058656e-05,1.1930912241380874e-05,Parking,5236.77,919.9836955076976,-19.742749329051605,Parking
1.1684356043937667e-05,8.232738917114205e-05,2.0154846073189194e-05,Parking,5236.87,919.9845937400349,-19.837150737305794,Parking
1.1413402438500534e-05,0.00010688501692691929,2.624306045201396e-05,Parking,5236.98,919.9836955076976,-20.053280205288054,Parking
9.453612073045226e-06,6.249439947067971e-05,1.5223721613732786e-05,Parking,5237.08,919.4188381798581,-20.382394413671836,Parking
2.825456258624923e-05,0.00019568797726117246,4.782299128362128e-05,Parking,5237.18,920.9006461068425,-20.738438691139486,Parking
9.728018166683871e-06,7.810562435169621e-05,1.8994542244397253e-05,Parking,5237.28,920.4221857386967,-21.027088293448436,Parking
1.6718355250357897e-05,0.00011584884236437569,2.832169915651318e-05,Parking,5237.38,919.4601677071172,-21.177126464389715,Parking
1.297432120038709e-05,0.00011926925244817406,2.9247494847504454e-05,Parking,5237.48,919.8978204126804,-21.092963171113023,Parking
2.8363979818536523e-06,2.2241599575433907e-05,5.432907624084298e-06,Parking,5237.58,918.9809573652764,-20.70218409042304,Parking
8.342992855795741e-06,6.519745419637302e-05,1.5973193783861453e-05,Parking,5237.68,919.5160847025993,-19.90877000890481,Parking
9.431168189364904e-06,8.478083719529345e-05,2.0652239130438526e-05,Parking,5237.78,920.5351704307664,-18.630265842368615,Parking
