angular_mag,Environment
0.00024870118457590826,Parking Lot
0.00023590666095388237,Parking Lot
0.0003294229263818801,Parking Lot
0.00031340234913286786,Parking Lot
0.0004763261163383759,Parking Lot
0.00038450361299472856,Parking Lot
0.00032304914153112986,Parking Lot
0.0003073774247289478,Parking Lot
0.0003825109458839054,Parking Lot
0.00035356208913790515,Parking Lot
0.000366454622250832,Parking Lot
0.00048667322981853033,Parking Lot
0.0004290322679342895,Parking Lot
0.0003635006352838465,Parking Lot
0.00047175505643115264,Parking Lot
0.0005809345225453639,Parking Lot
0.00048008970363372394,Parking Lot
0.0005448740754416932,Parking Lot
0.0005637257466515876,Parking Lot
0.0005749211784609173,Parking Lot
0.00037107525266446965,Parking Lot
0.0004108135133126587,Parking Lot
0.0004694842414944723,Parking Lot
0.0006811152959811137,Parking Lot
0.0005667886129854762,Parking Lot
0.0005995533815918646,Parking Lot
0.0006231505396884447,Parking Lot
0.0006267130313357144,Parking Lot
0.0006993639206793556,Parking Lot
0.0007660141390274725,Parking Lot
0.0006940505778990461,Parking Lot
0.0008067031841115789,Parking Lot
0.0006625404622708035,Parking Lot
0.00048513627299038366,Parking Lot
0.0006221594285108923,Parking Lot
0.0007745706673283013,Parking Lot
0.0007044748412959827,Parking Lot
0.0007402308040023733,Parking Lot
0.0006337964455643468,Parking Lot
0.0006001833408001259,Parking Lot
0.00042795377886986814,Parking Lot
0.0005458306017099078,Parking Lot
0.0007265556035232267,Parking Lot
0.0006491424031142935,Parking Lot
0.0006577498195026814,Parking Lot
0.0007963506525256069,Parking Lot
0.0007324638924465834,Parking Lot
0.0008220374433090016,Parking Lot
0.0006914634169919982,Parking Lot
0.0007801219089514152,Parking Lot
0.0006795237430465546,Parking Lot
0.0007562651732619981,Parking Lot
0.0006635604862179559,Parking Lot
0.000821083181694766,Parking Lot
0.0008103627462245781,Parking Lot
0.0007258769625831915,Parking Lot
0.0007827285912899567,Parking Lot
0.0007424104033336279,Parking Lot
0.0008310286966759932,Parking Lot
0.0008582906064556457,Parking Lot
0.0008098788220635233,Parking Lot
0.0008092275272239569,Parking Lot
0.0007711838928876562,Parking Lot
0.0008436606964751885,Parking Lot
0.000900213520767801,Parking Lot
0.0008282906252916303,Parking Lot
0.0008786013319159947,Parking Lot
0.0008049009620016676,Parking Lot
0.0009626158967869791,Parking Lot
0.0008854830695055665,Parking Lot
0.0009368231174790735,Parking Lot
0.0009570353830292796,Parking Lot
0.0009075769058041308,Parking Lot
0.0009445155300846036,Parking Lot
0.0007196299929562762,Parking Lot
0.0009548485443199878,Parking Lot
0.0008535297648454826,Parking Lot
0.0008710737782771332,Parking Lot
0.0007668514890274127,Parking Lot
0.0009126855858996569,Parking Lot
0.0008613497778585654,Parking Lot
0.0007559773625459958,Parking Lot
0.000910903190711834,Parking Lot
0.0008754418544032492,Parking Lot
0.0008395234853302199,Parking Lot
0.0006619678893532827,Parking Lot
0.0009317577567785524,Parking Lot
0.0008799136806693029,Parking Lot
0.0010692149969379404,Parking Lot
0.0009790567088159706,Parking Lot
0.0010902518128051886,Parking Lot
0.0010008591557407066,Parking Lot
0.0010303303653770475,Parking Lot
0.0009311284822160689,Parking Lot
0.001081579391736455,Parking Lot
0.0010230148531722304,Parking Lot
0.0009762449968660531,Parking Lot
0.0009870107935595234,Parking Lot
0.0010224892616795545,Parking Lot
0.0010675079664400637,Parking Lot
0.0009418173563918855,Parking Lot
0.000950102394007088,Parking Lot
0.001037765768953669,Parking Lot
0.0010129641108084727,Parking Lot
0.0010048726091883488,Parking Lot
0.0010321972499120504,Parking Lot
0.0011148644753892734,Parking Lot
0.0010732956149658863,Parking Lot
0.00103812510063383,Parking Lot
0.001018527770681291,Parking Lot
0.0010323496489087407,Parking Lot
0.0008778898212644967,Parking Lot
0.0009688084235580324,Parking Lot
0.0009443856743015536,Parking Lot
0.0008785828885929945,Parking Lot
0.0008970155198380961,Parking Lot
0.0008385959125488032,Parking Lot
0.0008761690058482097,Parking Lot
0.0007640904269005076,Parking Lot
0.03156989086193995,Parking Lot
0.03753967570797596,Parking Lot
0.036681743233472425,Parking Lot
0.03421499412120949,Parking Lot
0.0263344002423617,Parking Lot
0.007853692055932993,Parking Lot
0.042447202229877294,Parking Lot
0.038207245616145906,Parking Lot
0.022306627557791784,Parking Lot
0.033102295472865625,Parking Lot
0.1557431670459266,Parking Lot
0.2548497637176648,Parking Lot
0.2692367966255959,Parking Lot
0.29479497733819027,Parking Lot
0.29371278634949977,Parking Lot
0.28613897528539883,Parking Lot
0.2862344925467048,Parking Lot
0.28887454907231774,Parking Lot
0.27942301352185867,Parking Lot
0.28465475659396816,Parking Lot
0.2867523053453661,Parking Lot
0.28938111852359494,Parking Lot
0.29029769333412275,Parking Lot
0.2876172554047625,Parking Lot
0.288076627087275,Parking Lot
0.28943722882627526,Parking Lot
0.2893003469067426,Parking Lot
0.2882515760486768,Parking Lot
0.2883570792733905,Parking Lot
0.28926264347960123,Parking Lot
0.2890304117306774,Parking Lot
0.28847334048476664,Parking Lot
0.2886369835730323,Parking Lot
0.2893193116662213,Parking Lot
0.288997429805554,Parking Lot
0.288706688628099,Parking Lot
0.28890938055026544,Parking Lot
