time,footforce,d_footforce_dt,environment
5440.71,896.7301712332422,2068.94779423455,Parking
5440.81,858.8160454951922,2366.344855099811,Parking
5440.91,1373.99526927861,2592.6780483473203,Parking
5441.01,1489.8667725672656,2747.638550553253,Parking
5441.12,895.2910141400952,2822.416876875822,Parking
5441.22,1047.676476780881,2816.8668491610547,Parking
5441.32,1465.597147922989,2724.363038254538,Parking
5441.42,959.580637570392,2563.579701366248,Parking
5441.52,839.6147926281433,2339.931214567175,Parking
5441.62,1511.131033365406,2067.0526586018295,Parking
5441.72,1647.1833534855796,1754.7357968974445,Parking
5441.82,1114.7452623806032,1411.553772332986,Parking
5441.92,1417.6745042498296,1040.4404251881774,Parking
5442.02,1218.537237838877,664.0274833025891,Parking
5442.12,932.7588112690225,274.5272415205293,Parking
5442.23,1207.0932026981181,-113.02906073386913,Parking
5442.33,1431.6514939048539,-499.524340826196,Parking
5442.43,921.0868580106873,-878.8660291259603,Parking
5442.53,1068.1129834137134,-1239.6148168181796,Parking
5442.63,1473.0736573572958,-1587.8648153140703,Parking
5442.73,1237.1265092948256,-1913.283119157755,Parking
5442.83,1106.5256436251263,-2207.4887009231475,Parking
5442.93,1381.0572037392224,-2464.852945980313,Parking
5443.03,1570.8784166828443,-2685.377564367564,Parking
5443.13,1035.8865768026922,-2871.1626697446636,Parking
5443.23,1216.712130099245,-3017.295311820688,Parking
5443.33,923.8279060517712,-3114.1843321427655,Parking
5443.44,915.3813412998978,-3168.9122354541473,Parking
5443.54,946.2404556982332,-3182.215032003969,Parking
5443.64,1536.2154796772488,-3139.7517206535276,Parking
5443.74,1503.2128924407214,-3041.61133437321,Parking
5443.84,893.0011198201265,-2901.242702269988,Parking
5443.94,1067.4764634407636,-2716.3873692582024,Parking
5444.04,1219.9401624669958,-2492.928071301334,Parking
5444.14,959.1167812107137,-2245.9869760952793,Parking
5444.24,883.9338210522324,-1965.9974305086973,Parking
5444.34,1274.6940809464834,-1665.1802951534082,Parking
5444.44,1241.559503205545,-1347.9872747382026,Parking
5444.55,1083.336051278642,-1015.661480934585,Parking
5444.65,862.084682615345,-671.0891365075458,Parking
5444.75,1305.2176063783388,-337.7113053194222,Parking
5444.85,986.1511040403494,-24.656980024472958,Parking
5444.95,1107.876346890753,270.6654595815682,Parking
5445.05,996.904208036058,547.2537931816731,Parking
5445.15,993.4435061944891,799.7038594842182,Parking
5445.25,1273.595304639586,1037.958302128969,Parking
5445.35,984.5882388084879,1252.649211807192,Parking
5445.45,1159.491267754958,1448.112058433387,Parking
5445.55,1352.2048661353058,1637.2890372701547,Parking
5445.65,1000.2709632894479,1806.7216898708891,Parking
5445.76,885.9677285707794,1952.4764123291834,Parking
5445.86,1434.9930313419643,2098.9838111758368,Parking
5445.96,1146.2907976278511,2232.4175967873275,Parking
5446.06,992.6802103396642,2349.242360420476,Parking
5446.16,1312.991622212419,2453.012016767885,Parking
5446.26,1026.4823427609458,2537.12123259275,Parking
5446.36,844.9177474760487,2584.744095304334,Parking
5446.46,1047.1962566778016,2591.1221899303805,Parking
5446.56,1258.7926755427202,2554.654143562661,Parking
5446.66,1248.72975459064,2464.7056219720093,Parking
5446.76,1391.5017067901858,2334.399771711255,Parking
5446.86,1153.8652434318317,2172.7157945814806,Parking
5446.97,1186.5660537871458,1968.5897054329787,Parking
5447.07,1423.4384426451325,1728.1430193246272,Parking
5447.17,1193.2977956061745,1467.0251293811957,Parking
5447.27,1039.9124963188008,1198.8244183591626,Parking
5447.37,1139.1011930131713,919.1287860908354,Parking
5447.47,1155.7473772412377,632.4101345667827,Parking
5447.57,1324.620700427107,344.1613442453904,Parking
5447.67,843.722703262156,52.919370463250885,Parking
5447.77,1461.0821332149676,-248.4241894840266,Parking
5447.87,1611.247963536339,-556.7063030047376,Parking
5447.97,925.1859272600292,-857.3718501601053,Parking
5448.08,929.4891069829705,-1135.4867895629973,Parking
5448.18,1395.956661218392,-1384.6250082415204,Parking
5448.28,1370.0485392861087,-1593.405156172595,Parking
5448.38,953.8967449362641,-1743.6686614966168,Parking
5448.48,1419.4312241176042,-1827.045023261875,Parking
5448.58,1619.5314137120033,-1843.4343343769785,Parking
5448.68,934.7638979436488,-1795.566373258457,Parking
5448.78,923.9117923265186,-1684.2912853463745,Parking
5448.88,924.6783224451625,-1504.4395633338395,Parking
5448.98,1118.0635044575956,-1270.600492123435,Parking
5449.08,1281.6856088760612,-1003.8715201961421,Parking
5449.19,1390.838236460301,-712.790177006768,Parking
5449.29,985.2507295100065,-421.18826710738574,Parking
5449.39,1027.3777299513554,-146.20741273500454,Parking
5449.49,894.3025215216604,104.11212639446819,Parking
5449.59,1196.4572704447075,320.3691403114783,Parking
5449.69,1064.869006028441,493.6528488965501,Parking
5449.79,1558.2640982837281,638.0411488843259,Parking
5449.89,1046.18339196624,747.8997565778354,Parking
5449.99,1327.9107132160254,807.3678135064262,Parking
5450.09,1574.8841227214148,828.988373069792,Parking
5450.19,834.72210944721,814.0604106833242,Parking
5450.29,878.0711816248156,755.1702880628576,Parking
5450.39,1326.9219601135742,673.8541302960554,Parking
5450.5,888.8070656784857,550.2397532073984,Parking
5450.6,1143.1705909443262,398.3057507030296,Parking
5450.7,1043.6488873179524,231.61854316994598,Parking
5450.8,1411.6688705216957,37.013867890222095,Parking
5450.9,1545.002912618614,-181.6577132835308,Parking
5451.0,975.9047084628704,-399.68039441438674,Parking
5451.1,1243.3796684842487,-609.2654395586959,Parking
5451.2,1280.5971263438007,-802.8699360256387,Parking
5451.3,1206.0592854416402,-977.7654493833994,Parking
5451.4,1449.9962274304914,-1121.7967283429805,Parking
5451.5,976.1392860815906,-1226.3866477645806,Parking
5451.61,921.8410925967664,-1290.572511437448,Parking
5451.71,953.1353524027949,-1306.3730953060826,Parking
5451.81,1138.7633643562651,-1282.4393341237435,Parking
5451.91,1209.0843643021772,-1217.3088361950224,Parking
5452.01,1374.2951033086165,-1109.5348192664403,Parking
5452.11,973.6973444654657,-978.419561819378,Parking
5452.21,1167.6090955452514,-836.498210346026,Parking
5452.31,1369.4842094745013,-695.5004036100936,Parking
5452.41,948.0058016700109,-560.9743637231406,Parking
5452.51,1160.4830890624817,-447.48406453459216,Parking
5452.61,1291.533584542036,-359.7082875304966,Parking
5452.71,894.7474504015086,-287.653951942379,Parking
5452.82,899.821648994955,-225.6637589026385,Parking
5452.92,1362.2833772750807,-165.35122549276917,Parking
5453.02,1120.7332421232093,-102.78724633336492,Parking
5453.12,1207.0484663011673,-6.936881422511001,Parking
5453.22,1206.278160293056,131.17352260046417,Parking
5453.32,975.277909111039,307.1295770273762,Parking
5453.42,1265.347778280738,554.0877870471468,Parking
5453.52,1520.3269385234216,880.7794044778547,Parking
5453.62,933.4120204925582,1274.8600919370888,Parking
5453.72,1339.1631254946103,1731.7215764377304,Parking
5453.82,828.358014387499,2235.422053612242,Parking
5453.92,994.6029358492765,2753.820468062728,Parking
5454.03,1168.7651603294821,3265.922356345529,Parking
5454.13,876.3760608323347,3754.1501028160155,Parking
5454.23,1034.875837963183,4183.509688194144,Parking
5454.33,1175.359094064448,4514.042017870221,Parking
5454.43,1255.4039190635021,4719.413970797382,Parking
5454.53,955.5642312267659,4773.863918029195,Parking
5454.63,1308.4437320725717,4678.825957976109,Parking
5454.73,1500.2909717784746,4416.7379962213,Parking
5454.83,1187.0850854087923,3992.58337928132,Parking
5454.93,1850.3099740313783,3434.3812335125313,Parking
5455.03,952.6914505756835,2766.0726066290254,Parking
5455.14,1359.9952205798372,1994.0197183603336,Parking
5455.24,1474.537893714502,1170.6257452272198,Parking
5455.34,1009.1709468667833,327.7179950105466,Parking
5455.44,1046.0740891543007,-499.1436324593337,Parking
5455.54,1552.9368950475741,-1276.6804761124217,Parking
5455.64,1316.6115600282417,-1994.8935348560321,Parking
5455.74,1350.5295257786852,-2606.1516353315083,Parking
5455.84,1393.1970427760748,-3098.678229145335,Parking
5455.94,1327.6061162860015,-3461.1581334512234,Parking
5456.04,1260.0674585116465,-3690.2905729213708,Parking
5456.14,1252.4535108777998,-3773.8818714950135,Parking
5456.24,1033.6933781349283,-3716.8078982106654,Parking
5456.35,1015.3772697869497,-3525.9756573707045,Parking
5456.45,1320.4237956050322,-3211.052383914139,Parking
5456.55,1001.8442992800827,-2796.201780733413,Parking
5456.65,1147.8741220186123,-2309.757158336112,Parking
5456.75,1245.191551529322,-1764.4584462599582,Parking
5456.85,974.584526862601,-1203.5183217482818,Parking
5456.95,954.8675300794347,-662.1478662601254,Parking
5457.05,1534.1095136919007,-151.92619788216652,Parking
5457.15,897.3182267178128,301.97637012035534,Parking
5457.25,1295.3142475862758,665.1941274393039,Parking
5457.35,1140.1530599002924,944.2700510557491,Parking
5457.46,1022.1477388323079,1129.2176162378644,Parking
5457.56,997.1820295211903,1215.340310007117,Parking
5457.66,1676.1079917475486,1215.9555366863085,Parking
5457.76,1022.9990224824264,1139.5540246601072,Parking
5457.86,1030.9821194563735,1007.5474018123055,Parking
5457.96,1568.2793118574255,829.7564121170503,Parking
5458.06,1470.2033872903435,622.4120823138355,Parking
5458.16,1057.6842629064688,398.955791878108,Parking
5458.26,1059.7027885213854,177.47089788237753,Parking
5458.36,1264.5837259746781,-45.02628420706652,Parking
5458.46,959.0338888694184,-264.289587081897,Parking
5458.57,881.9654188232099,-454.03061127948416,Parking
5458.67,1364.1188123744364,-617.3245097513447,Parking
5458.77,1667.0965778862362,-751.9390756338605,Parking
5458.87,1016.2662052828481,-852.6556498809581,Parking
5458.97,1176.0450671636695,-909.2779025717281,Parking
5459.07,1503.8204680080664,-924.3050530095647,Parking
5459.17,900.2238610479062,-906.030313642687,Parking
5459.27,1269.1642919653862,-829.972925038165,Parking
5459.37,1273.1684884570464,-704.8288326396987,Parking
5459.47,924.5469160621326,-551.0881909530704,Parking
5459.57,1229.388465864228,-376.20232789013625,Parking
5459.67,886.3622284371103,-180.02421225189596,Parking
5459.77,1164.4754183751584,33.992733312907205,Parking
5459.88,1173.702262075012,240.88722184756577,Parking
5459.98,1511.3176370306805,446.95835533335946,Parking
5460.08,1249.6599537474185,637.2576473519928,Parking
5460.18,956.3592421260956,804.9643275206374,Parking
5460.28,1391.5485978176298,932.2740174180158,Parking
5460.38,854.9225872320204,1016.6186500234513,Parking
5460.48,1193.6456760697456,1046.2877867018485,Parking
5460.58,1189.1977887819241,1021.6209083479754,Parking
5460.68,1303.853670823521,946.5038548247567,Parking
5460.78,1081.6450431795945,806.3462653231913,Parking
5460.89,1272.5035085367483,614.9649864990643,Parking
5460.99,1182.4593016252188,385.92627907262624,Parking
5461.09,1036.7680550634263,126.11956357767843,Parking
5461.19,1487.6189028107972,-163.2794838199903,Parking
