jmag,Environment
3.85133506007561,Parking Lot
2.267390979585735,Parking Lot
1.4434370844647295,Parking Lot
1.6535853071630864,Parking Lot
2.1742402699475973,Parking Lot
1.9458296348034196,Parking Lot
0.5908826120326184,Parking Lot
1.8639625302001561,Parking Lot
0.7649300429757283,Parking Lot
0.6985599321853206,Parking Lot
0.7575142200091031,Parking Lot
1.930491197036132,Parking Lot
2.7690833271747164,Parking Lot
2.668593742413724,Parking Lot
1.1735233459938534,Parking Lot
1.3355084394196128,Parking Lot
2.8463374940153257,Parking Lot
2.6485183817870106,Parking Lot
0.9745948567733157,Parking Lot
1.8062492102449317,Parking Lot
2.1523557772317305,Parking Lot
1.8815643268886257,Parking Lot
2.3318947019433227,Parking Lot
1.4963718573790792,Parking Lot
1.2610492666651003,Parking Lot
0.7427522949318414,Parking Lot
0.9149656929136003,Parking Lot
0.7975084871178695,Parking Lot
0.6616532654522633,Parking Lot
0.778235890973147,Parking Lot
0.44349237247471346,Parking Lot
0.9783955202802533,Parking Lot
0.6397008180408763,Parking Lot
0.7537186248415136,Parking Lot
1.8362058599456639,Parking Lot
1.2084499121976922,Parking Lot
0.2688921752026452,Parking Lot
0.5964951608362047,Parking Lot
2.274242696258215,Parking Lot
2.166443599377701,Parking Lot
1.8781660414751538,Parking Lot
3.0997496142396788,Parking Lot
1.5921340942503552,Parking Lot
0.9130498576978145,Parking Lot
0.7799554383648591,Parking Lot
0.44799061503979076,Parking Lot
0.36958091954852046,Parking Lot
0.9019333153208887,Parking Lot
0.5603071677827886,Parking Lot
0.8865826174103405,Parking Lot
2.956087269887477,Parking Lot
3.4655658667198534,Parking Lot
1.1184648041641005,Parking Lot
1.9565090947864998,Parking Lot
1.7090751928106729,Parking Lot
0.7069743134776608,Parking Lot
0.5873277829142852,Parking Lot
0.26943885700837483,Parking Lot
1.4309032336102168,Parking Lot
0.42783562849766327,Parking Lot
1.2848664033725903,Parking Lot
0.3395614611233877,Parking Lot
1.5800679986797272,Parking Lot
1.5455678001999003,Parking Lot
1.4718448250661786,Parking Lot
1.3924182794904878,Parking Lot
1.1774565464314382,Parking Lot
0.8037768656575092,Parking Lot
0.6002716543146444,Parking Lot
1.1963252992236852,Parking Lot
0.3787534000044887,Parking Lot
1.3451380233544805,Parking Lot
2.4907650409129314,Parking Lot
2.120137149400717,Parking Lot
0.6762783358573597,Parking Lot
1.4457244215664475,Parking Lot
1.3961379717542814,Parking Lot
0.5435658257791046,Parking Lot
0.6521020253488943,Parking Lot
0.7663795511113601,Parking Lot
0.21118512717151752,Parking Lot
0.6872276799878552,Parking Lot
1.4401454097320345,Parking Lot
1.1668116797712043,Parking Lot
0.6162981056340997,Parking Lot
0.32273501625386103,Parking Lot
0.6762936934193973,Parking Lot
1.0566303968560813,Parking Lot
0.5556583636881657,Parking Lot
0.6475048470502459,Parking Lot
0.4344351403432996,Parking Lot
0.33141143630317355,Parking Lot
0.8475563575339472,Parking Lot
1.176612153071002,Parking Lot
0.49254789610170907,Parking Lot
0.3515335393501449,Parking Lot
0.2561742188727038,Parking Lot
0.26061154562213834,Parking Lot
0.28051220343329075,Parking Lot
0.36205363492305925,Parking Lot
0.9203488494530155,Parking Lot
0.5360312609717924,Parking Lot
0.8420439457765905,Parking Lot
0.94975142821861,Parking Lot
0.40612854816424804,Parking Lot
0.3629257108638074,Parking Lot
0.40881569282257246,Parking Lot
0.471630019581027,Parking Lot
0.7883546651311195,Parking Lot
1.207829230851365,Parking Lot
0.7677242323477875,Parking Lot
0.27552289839140415,Parking Lot
0.39119995524795237,Parking Lot
0.6700382789206896,Parking Lot
0.7657278133111333,Parking Lot
0.5343504219285785,Parking Lot
0.6129838619810883,Parking Lot
1.5709030204806564,Parking Lot
2.750536550132173,Parking Lot
9.581649859257485,Parking Lot
14.119363262477808,Parking Lot
6.136413042915952,Parking Lot
6.430067650827521,Parking Lot
14.082887012007635,Parking Lot
27.60195002633868,Parking Lot
41.058403300866935,Parking Lot
19.676243114459112,Parking Lot
62.495728221747264,Parking Lot
76.72417120650726,Parking Lot
20.967921678662762,Parking Lot
70.76461344826335,Parking Lot
47.07117721276579,Parking Lot
20.48571023309906,Parking Lot
14.079763138682415,Parking Lot
17.865739373966576,Parking Lot
28.918135670288287,Parking Lot
18.328711471202766,Parking Lot
21.41788821196197,Parking Lot
30.411357667524477,Parking Lot
42.68639130929786,Parking Lot
31.63401312836865,Parking Lot
4.3020092231421385,Parking Lot
5.034505258493625,Parking Lot
5.161318028924397,Parking Lot
8.060178033995284,Parking Lot
2.7789045865052606,Parking Lot
3.619500495178855,Parking Lot
2.0324129630564753,Parking Lot
4.537206118141427,Parking Lot
0.9361425174085408,Parking Lot
3.8613219336128903,Parking Lot
2.1423700651614777,Parking Lot
2.0626794032519933,Parking Lot
1.5914739756590435,Parking Lot
0.9616361618096487,Parking Lot
2.793965678529355,Parking Lot
2.7662446877490794,Parking Lot
0.3960789336735789,Parking Lot
1.0802788649233113,Parking Lot
0.7138832588736113,Parking Lot
1.6845233499420702,Parking Lot
1.9579776317670292,Parking Lot
1.079992798494509,Parking Lot
1.6321451064167105,Parking Lot
0.45976783934938176,Parking Lot
1.428441665907295,Parking Lot
1.1725252252297194,Parking Lot
2.3192835458606638,Parking Lot
1.0282534415211106,Parking Lot
0.7465212658725724,Parking Lot
0.37333129590218733,Parking Lot
0.6237715907285506,Parking Lot
1.806148516152512,Parking Lot
3.0672461182956754,Parking Lot
0.7310586585220047,Parking Lot
2.115073022214589,Parking Lot
2.9093687406892816,Parking Lot
1.7309363774847428,Parking Lot
1.0365564259605016,Parking Lot
1.2007143462955712,Parking Lot
0.6701192079772209,Parking Lot
1.7145194883698542,Parking Lot
1.1193225544497825,Parking Lot
0.6962464742460167,Parking Lot
1.0909431234028721,Parking Lot
0.2333149641578961,Parking Lot
1.0083367555038412,Parking Lot
0.4999413042548139,Parking Lot
0.951219154821847,Parking Lot
0.8408349645441721,Parking Lot
0.9051631377823531,Parking Lot
0.5483852041220709,Parking Lot
1.159834580662257,Parking Lot
2.0759805833629583,Parking Lot
2.5683091792266897,Parking Lot
2.7458928360189248,Parking Lot
2.466117542798804,Parking Lot
2.32137697121773,Parking Lot
1.2594065913754757,Parking Lot
1.3377064911257688,Parking Lot
1.0145831108884027,Parking Lot
2.1599494795943763,Parking Lot
0.8048283230602766,Parking Lot
1.3214787521939255,Parking Lot
2.850001955718628,Parking Lot
1.8725314883600765,Parking Lot
1.8376997321651733,Parking Lot
3.2349347495892236,Parking Lot
0.7030908849501584,Parking Lot
2.055706324259372,Parking Lot
1.4093401934593317,Parking Lot
0.7156417151061005,Parking Lot
0.264252822879916,Parking Lot
0.9632922063942999,Parking Lot
0.26966187272212067,Parking Lot
9.848686471814407,Parking Lot
19.15407613668955,Parking Lot
30.771688734141637,Parking Lot
8.456430809413622,Parking Lot
9.417955192211318,Parking Lot
17.921299354120514,Parking Lot
14.346683225247554,Parking Lot
28.106353267729343,Parking Lot
12.636956376897096,Parking Lot
