index,time,trans_x,trans_y,trans_z,roll,pitch,yaw
57,5239.19,-0.000197829,-0.000107778,-6.18985e-05,0.000465055,0.000667829,-0.000109114
58,5239.3,-0.000383319,5.19392e-05,-0.000191187,0.000474196,0.00065174,8.40292e-05
59,5239.4,-0.000564711,0.000144499,-0.000153938,0.00029729,0.000642978,0.000158415
60,5239.5,-0.000463837,-0.000294536,-0.000177911,0.000183571,0.000755634,8.93476e-05
61,5239.6,-9.86614e-06,-0.00104151,-0.000130598,0.000375832,0.000615235,-0.000177227
62,5239.7,-9.99393e-05,-0.000988618,-0.000136057,0.000526741,0.000595073,-0.000242983
63,5239.8,-0.000420575,-0.000410235,-0.00029171,0.000363873,0.0007644,-0.000141251
64,5239.91,-0.000443826,-0.000433005,-0.000276891,0.000254057,0.000757483,-0.000132583
65,5240,-4.5778e-06,-0.000850957,-0.000305177,0.000392858,0.000699098,-0.000108507
66,5240.1,-0.000273233,-0.000605824,-0.000293842,0.0004622,0.000610389,-9.23094e-05
67,5240.2,-0.000526079,-0.00105951,-0.000344066,0.000321324,0.00077254,-0.000108149
68,5240.3,-6.25955e-05,-0.000919796,-0.000379898,0.000319646,0.000836171,-9.50204e-05
69,5240.4,0.000286108,-0.00129372,-0.000251163,0.000367481,0.000731523,-0.000126084
70,5240.51,0.000188866,-0.00108862,-0.000245651,0.000314115,0.000817212,7.37334e-05
71,5240.61,7.53524e-05,-0.00095138,-0.000156049,0.000292695,0.000745851,7.68211e-05
72,5240.71,0.000326458,-0.0012734,-0.000231464,0.000432569,0.000842485,-0.000172431
73,5240.81,0.000448137,-0.000980541,-0.000289308,0.000472956,0.000739894,-0.000113797
74,5240.91,0.000599378,-0.00041391,-0.000286887,0.000548937,0.000759071,-1.08139e-05
75,5241.01,0.000650276,-0.000897314,-0.000424341,0.000457135,0.000823897,-0.000167744
76,5241.11,0.000246048,2.1354e-05,-0.000446306,0.000420941,0.000762032,-0.000256538
77,5241.21,-7.2605e-05,0.000294136,-0.000444934,0.000365621,0.000855399,-0.000163473
78,5241.31,0.000254471,0.000290479,-0.00033603,0.00029961,0.00065289,-4.28465e-05
79,5241.41,-0.000196265,-3.81378e-05,-0.000367174,0.000438347,0.00084067,-0.000113409
80,5241.51,-0.000106944,-0.000312359,-0.000276618,0.000434614,0.000734588,-2.04957e-06
81,5241.61,3.73414e-05,-0.000565555,-0.000307334,0.00038704,0.000734219,-0.000264371
82,5241.72,5.96475e-05,-0.000224657,-0.000203353,0.000230459,0.000729988,-4.54684e-05
83,5241.82,0.000102888,2.90014e-05,-0.00028514,0.00041225,0.000775897,-0.00024704
84,5241.92,0.000245426,0.000232628,-0.000360149,0.000471782,0.000710922,-0.000118047
85,5242.02,0.000276863,-0.000261829,-0.000338696,0.000211255,0.000693109,-0.000215576
86,5242.12,0.000148414,-2.59471e-05,-0.000397552,0.000394347,0.000790054,-0.000223718
87,5242.22,-2.37131e-05,-0.000212186,-0.000396069,0.000378314,0.000771191,-0.000168942
88,5242.32,-0.000303507,-0.00020766,-0.000324251,0.00029053,0.000779136,-0.000115495
89,5242.42,-0.000376471,-7.56684e-05,-0.000217353,0.000243385,0.000613691,-4.84622e-05
90,5242.52,-0.00025776,-0.000431749,-0.000355119,0.000213166,0.000885825,-0.000195056
91,5242.62,-7.5165e-05,-0.000326615,-0.000291464,0.000369452,0.000786865,-0.00013637
92,5242.72,-0.000190374,-5.03645e-05,-0.000332625,0.00054187,0.000879021,-0.000277344
93,5242.83,-0.000100406,-4.71225e-06,-0.000408617,0.000442807,0.000872571,-3.30734e-05
94,5242.93,-5.52008e-05,0.000137694,-0.000381221,0.000391757,0.00100446,-0.000161974
95,5243.03,-3.40335e-05,8.54419e-05,-0.000406907,0.000450047,0.00087963,-0.000159461
96,5243.13,0.000248864,0.000633005,-0.000411512,0.000448469,0.000919316,-0.000123751
97,5243.23,0.0001105,0.000825844,-0.000477457,0.000481053,0.000786928,-0.000127799
98,5243.33,2.78706e-05,0.000694684,-0.000485855,0.000580626,0.000877833,-0.000249192
99,5243.43,0.000103946,0.000571185,-0.000491246,0.000576425,0.000795119,-0.000286495
100,5243.53,0.000101041,0.000517501,-0.00042105,0.00048462,0.000819395,-0.000216309
101,5243.63,0.000153614,0.000399342,-0.000453608,0.000376543,0.000880027,-0.000240745
102,5243.73,0.000115646,0.000300341,-0.000364485,0.00036372,0.000920215,-0.000257675
103,5243.83,-0.000238357,0.000156972,-0.000429724,0.00041386,0.000926763,-0.000330762
104,5243.93,-7.85293e-05,0.000222928,-0.000342723,0.000290101,0.00087365,-0.00019899
105,5244.04,0.000116799,0.000534062,-0.00034274,0.000406619,0.000831209,-0.000215516
106,5244.14,-0.000169122,0.000428312,-0.0003691,0.000488678,0.000887902,-0.000223118
107,5244.24,-0.000161585,0.000450039,-0.000347456,0.000451419,0.000891159,-0.000167788
108,5244.34,-0.000229858,0.00054029,-0.000436257,0.000470048,0.000855292,-0.000239373
109,5244.44,-0.000160042,0.000513476,-0.000408525,0.000411466,0.000926909,-0.000192267
110,5244.54,-0.000293356,0.000560238,-0.000384076,0.000436009,0.00100699,-0.000196952
111,5244.64,-0.000220543,0.000446331,-0.000354374,0.00037174,0.000993289,-0.000164772
112,5244.74,-0.000476144,0.000751198,-0.000315571,0.000454338,0.000915741,-0.000180829
113,5244.84,-0.000416584,0.000453746,-0.000222592,0.000377158,0.000930507,-0.000171194
114,5244.94,-0.000331321,0.000263412,-0.000123538,0.000386381,0.000950696,-0.000112395
115,5245.04,-0.000331826,0.000319432,-0.00022841,0.00038295,0.000785073,-8.77509e-05
116,5245.15,-0.000497203,0.000472573,-0.000184349,0.000433272,0.000854553,-0.000143542
117,5245.25,-0.000197015,0.000758526,-0.000215468,0.000350976,0.000865105,-0.000142385
118,5245.35,-8.75535e-05,0.000783616,-0.000296458,0.000353704,0.000803512,-3.42029e-05
119,5245.45,-0.000121601,0.00107289,-0.000339989,0.000186883,0.000872035,9.62629e-05
120,5245.55,-0.000182393,0.00102459,-0.000344456,0.000102693,0.000831742,3.00416e-05
121,5245.65,-0.000735564,0.00213901,-0.000316082,0.000199139,0.000849184,8.30802e-05
122,5245.75,0.000164018,0.00483744,-0.0021534,-0.000360133,-0.000217406,0.000637866
123,5245.85,-0.0052933,0.00372161,-0.0045618,-0.00927758,0.0288789,0.00875178
124,5245.95,-0.00339143,0.00111134,-0.00512389,-0.0155512,0.0322951,0.0111541
125,5246.05,0.000388491,-0.00069671,-0.00536874,-0.0148256,0.0323478,0.00890908
126,5246.15,8.68314e-05,-0.00252331,-0.00302591,-0.0103031,0.0315124,0.00845462
127,5246.25,0.00481906,0.0032218,-0.00568644,-0.0166306,0.0193592,0.00649193
128,5246.36,0.0159941,-0.00860451,-0.00204964,0.00485123,0.00611815,0.000845155
129,5246.46,0.0201944,0.00079491,0.00714764,0.0366188,0.0213866,0.00185521
130,5246.56,0.0271735,0.0222934,0.00745801,0.0376589,-0.00392141,0.00512088
