T_HIP,T_THIGH,T_CALF,Environment
1.3651103501215796e-05,9.769238902545505e-05,2.394230016282717e-05,Parking
5.441693565368008e-06,3.242452990265496e-05,7.81565329966028e-06,Parking
4.905870618928441e-06,2.5561326818277923e-05,5.98068498533371e-06,Parking
6.089739734712427e-06,5.045827363110271e-05,1.2308685248444542e-05,Parking
1.2161571541721678e-05,7.78371132574125e-05,1.890075514073832e-05,Parking
7.622502424494167e-06,6.147224022910826e-05,1.5076399696653297e-05,Parking
6.6971505647287285e-06,4.863839736058656e-05,1.1930912241380874e-05,Parking
1.1684356043937667e-05,8.232738917114205e-05,2.0154846073189194e-05,Parking
1.1413402438500534e-05,0.00010688501692691929,2.624306045201396e-05,Parking
9.453612073045226e-06,6.249439947067971e-05,1.5223721613732786e-05,Parking
2.825456258624923e-05,0.00019568797726117246,4.782299128362128e-05,Parking
9.728018166683871e-06,7.810562435169621e-05,1.8994542244397253e-05,Parking
1.6718355250357897e-05,0.00011584884236437569,2.832169915651318e-05,Parking
1.297432120038709e-05,0.00011926925244817406,2.9247494847504454e-05,Parking
2.8363979818536523e-06,2.2241599575433907e-05,5.432907624084298e-06,Parking
8.342992855795741e-06,6.519745419637302e-05,1.5973193783861453e-05,Parking
9.431168189364904e-06,8.478083719529345e-05,2.0652239130438526e-05,Parking
2.18362906870139e-05,0.00016864088452073726,4.1377150137156214e-05,Parking
8.356727225316955e-06,6.119640361285047e-05,1.4862917035174889e-05,Parking
2.364258841250158e-05,0.00018168516005272778,4.456517291678998e-05,Parking
9.592732886720777e-06,6.602173409514266e-05,1.6009058487179183e-05,Parking
6.976716860044984e-06,2.6299458696012797e-05,5.808644877086578e-06,Parking
1.3905801041257155e-05,7.529420457143224e-05,1.7774300267761853e-05,Parking
1.6575936500849945e-05,4.4705373346754655e-05,8.303602839060124e-06,Parking
1.1997542589943569e-05,0.00010702304154973668,2.6092339716648357e-05,Parking
1.578792745183523e-05,3.8814691850563775e-05,6.512136921122404e-06,Parking
1.84097178320546e-05,0.0001932817682575549,4.7370465968365776e-05,Parking
5.9487821905599876e-06,5.7699809691734976e-05,1.4084207009285062e-05,Parking
1.3247582266520185e-05,0.00010905897144080033,2.6458532439655316e-05,Parking
7.774962332290975e-06,8.320815141279519e-05,2.0427661502429747e-05,Parking
1.1803538248431535e-05,5.4745367021041975e-05,1.2740482424654007e-05,Parking
8.212347839112343e-06,0.0001078296557667803,2.6486469713667765e-05,Parking
1.289852070046956e-05,6.508806107265724e-05,1.5244517943408018e-05,Parking
1.8994024766429157e-05,0.00017740465493014593,4.3495500574215463e-05,Parking
9.812320939432037e-06,5.344921576398108e-05,1.2724016102192173e-05,Parking
1.7946590354174414e-05,0.00017210322483089333,4.213745154832882e-05,Parking
9.927073245307565e-06,6.922327181151825e-05,1.689364324741604e-05,Parking
1.2012706507799712e-05,0.00013609753601854385,3.342849230601196e-05,Parking
3.750103099246527e-06,4.4662137542388015e-05,1.0970268695387448e-05,Parking
1.581345362123482e-05,0.00013767683671316605,3.379632806949212e-05,Parking
8.240622758876142e-06,7.679308156615953e-05,1.8851553756514144e-05,Parking
8.139898120276855e-06,6.57782256239862e-05,1.614327167189271e-05,Parking
1.1654861556395837e-05,7.97453794676596e-05,1.920718531465349e-05,Parking
8.386705275290955e-06,3.764383528315056e-05,8.56333154709271e-06,Parking
1.1671234275807606e-05,5.970203574656186e-05,1.3866553068186806e-05,Parking
1.4474577072422505e-05,5.686788177648424e-05,1.2725012203736319e-05,Parking
5.65610654780418e-06,3.964942935712163e-05,9.670493141584077e-06,Parking
1.1750830850248835e-05,5.390690452882951e-05,1.2273949484532718e-05,Parking
2.719269428742873e-06,1.8384119129211784e-05,4.453711095891599e-06,Parking
1.0432732455567077e-05,2.116096791096378e-05,2.2601194305470746e-06,Parking
7.127706531891218e-06,4.632386032658369e-05,1.126099851416467e-05,Parking
1.291582321110184e-05,0.00010862740081754504,2.6657063848736816e-05,Parking
7.043576275133522e-06,5.389073700028023e-05,1.3202048164089128e-05,Parking
7.2681955932898984e-06,7.153369730164967e-05,1.748702384451002e-05,Parking
1.0445588226319273e-05,5.8354005190421e-05,1.3954443400315837e-05,Parking
1.2106183708705279e-05,0.00014671400197042569,3.597894348368622e-05,Parking
8.020428970955665e-06,8.108110672981489e-05,1.9876714847140162e-05,Parking
9.42153399595281e-06,0.00011819214957264197,2.903175746508536e-05,Parking
1.3024891350901328e-05,0.00016400789151888053,4.028444607094516e-05,Parking
5.8621802136357555e-06,4.529622419232718e-05,1.092482289585047e-05,Parking
9.776730678495906e-06,9.20075648957186e-05,2.258731014946292e-05,Parking
4.293839865420006e-06,3.870223274100619e-05,9.413094407516143e-06,Parking
1.4533056331356722e-05,0.00010317027860128851,2.527375901315281e-05,Parking
1.1596467909755247e-05,0.00011272961789106324,2.7678689554498602e-05,Parking
2.4539418218139524e-06,1.7258149784545084e-05,4.223283050127154e-06,Parking
1.3705300832646517e-05,0.00013206958578134553,3.2282809443311945e-05,Parking
8.4996486871559e-06,3.402647500231874e-05,7.622632236033709e-06,Parking
6.448712327320328e-06,6.65524542167848e-05,1.633730766477742e-05,Parking
6.793343407554841e-06,3.489995747447904e-05,8.095180120679432e-06,Parking
4.634490767629259e-06,1.7996271921497728e-05,3.936495231528355e-06,Parking
6.403794245049111e-06,4.58067873993912e-05,1.1113083717381828e-05,Parking
5.907736794414222e-06,5.045619713903058e-05,1.2289168757240707e-05,Parking
5.01152071163006e-06,4.451709311236504e-05,1.0812630166588102e-05,Parking
6.406075740088795e-06,4.4881177943544156e-05,1.0968445741665052e-05,Parking
6.05876778869423e-06,6.441653884254296e-05,1.5781906187720873e-05,Parking
1.6102976061114245e-06,1.0279641087952194e-05,2.4905820992889326e-06,Parking
8.247453518723482e-06,6.386016986630237e-05,1.547553901735079e-05,Parking
7.908401794187309e-06,8.812728018206747e-05,2.156788000332676e-05,Parking
6.0866911500602545e-06,4.400210127657517e-05,1.079287651325281e-05,Parking
5.796973854084923e-06,6.108009455791923e-05,1.4972301433122242e-05,Parking
4.507328620245761e-06,2.2656318311911773e-05,5.324518340242006e-06,Parking
7.140559537141514e-06,4.8753162542018974e-05,1.190690241424002e-05,Parking
1.413202120338286e-06,1.0229453841996644e-05,2.505151779300814e-06,Parking
6.777574407877078e-06,4.91183678146445e-05,1.2047771084859277e-05,Parking
4.715623968311068e-06,3.8416114990954455e-05,9.423988688406342e-06,Parking
8.193733329834153e-06,6.414466323896988e-05,1.5740529511052052e-05,Parking
3.7653263269313917e-06,1.9908863778099465e-05,4.7314640806314e-06,Parking
9.425554586190094e-06,7.369684448740303e-05,1.806667489435616e-05,Parking
1.3520501594813859e-05,9.686942435431747e-05,2.3729999893980245e-05,Parking
7.520475905306895e-06,5.5875967670972495e-05,1.3703120814968655e-05,Parking
2.09515407557709e-05,0.00014015225291393325,3.416054594364076e-05,Parking
7.618761547352042e-05,0.0005481302788783174,0.00013437674191235925,Parking
0.00021136297219940056,0.0015391930967076507,0.0003774897138734813,Parking
0.00040952061325948375,0.002990461623076982,0.0007333253319743287,Parking
0.00045305820980855524,0.0033124871151854634,0.0008118919187495827,Parking
0.001422301036248603,0.01046807781369907,0.002565752288224302,Parking
0.0011299873708626677,0.008080978425121342,0.001980638698092481,Parking
0.0008286455979730332,0.007152753679540248,0.001752804455487205,Parking
0.00047484929250160763,0.0033538063890028087,0.0008210946591136618,Parking
0.0013453082483088803,0.010207915528649764,0.002504424267589451,Parking
0.0011404093170078948,0.012722951883028742,0.0031242494139016325,Parking
0.0010135767654033021,0.008665938005188637,0.002124130763026684,Parking
0.001962940980445259,0.018914168093136924,0.004643348761179017,Parking
0.0014768453239508794,0.011404331237021347,0.0027848167262545997,Parking
0.0015915049977893213,0.0048010937161721695,0.0009464253560036351,Parking
0.004002935090580145,0.008804844909691939,0.0012260373391270176,Parking
0.0016287184243182953,0.008601822767564968,0.0020335718345473558,Parking
0.0035051491564121588,0.01118577236453827,0.0023075679535025837,Parking
0.0005537645174424961,0.0065878389705247686,0.001614664562729116,Parking
0.0008711810715199391,0.004726103857471434,0.0011245758361708564,Parking
0.0007313914887385938,0.002413462710263658,0.0005089153304682154,Parking
0.0010353582662573624,0.009511229630020207,0.002314951097277064,Parking
0.0005128436322027919,0.003527684648041683,0.0008620566581080263,Parking
0.0012271769004611724,0.01264982706027814,0.0031031957364945095,Parking
0.0004569027893259242,0.0023386329222287003,0.0005443729720787462,Parking
0.00032949469029525347,0.003171171050404464,0.0007784631524640532,Parking
0.0002371015130569484,0.0016137644620492322,0.00039339995923683824,Parking
0.00026757074053756916,0.0026963039198244472,0.000662124165424175,Parking
0.0001641133275745456,0.0006398263011875173,0.00014053722619363193,Parking
0.0001684174827528271,0.0016737779947358338,0.0004083125725121694,Parking
8.324076728253224e-05,0.0007614894475851767,0.00018534444183117063,Parking
0.00011806189397099603,0.0012164398592714048,0.0002969753690164399,Parking
6.0304036378825676e-05,0.0006509686692919712,0.00015940683643807886,Parking
8.011037536215983e-05,0.0008809450234871318,0.0002154830327503,Parking
4.667086910913937e-05,0.0004705507414137435,0.00011487591630417311,Parking
6.433821101711805e-05,0.0006552615305681852,0.0001599116879363818,Parking
3.307264422512026e-05,0.00036286930240281046,8.877313481947675e-05,Parking
6.038588017867649e-05,0.0006470396898584996,0.00015817075179064621,Parking
2.4721230462162886e-05,0.0002718818961991563,6.653193568766948e-05,Parking
6.100470469610013e-05,0.0006592651444105737,0.000161285209935675,Parking
3.030732011320847e-05,0.00023125280716547992,5.670808649394997e-05,Parking
4.6279245237465665e-05,0.00051504499208361,0.00012603011019908232,Parking
2.0221027568666688e-05,0.0001450939726339424,3.5568735297752206e-05,Parking
3.407592986683381e-05,0.0003742520570454051,9.167633781267576e-05,Parking
7.966778314590726e-06,7.879722808210684e-05,1.927940891913688e-05,Parking
1.683306482075751e-05,0.0001983426108616952,4.862619159448547e-05,Parking
7.964171656125714e-06,0.00010158424982740525,2.4955031583817465e-05,Parking
1.5683650240942537e-05,0.00012791223710576527,3.1160371756330106e-05,Parking
1.5716345412895616e-05,0.00015732778236542336,3.857666205231527e-05,Parking
7.327071093818436e-06,2.6421685883964496e-05,5.646770029563786e-06,Parking
1.6005365252486144e-05,0.00015329936240431554,3.7325471684536725e-05,Parking
6.804334347002337e-06,4.788438229486773e-05,1.1476293849812347e-05,Parking
1.4507073661268654e-05,0.0001352801660166156,3.292976305004438e-05,Parking
9.820474169112067e-06,6.158771091312384e-05,1.4780766291603282e-05,Parking
1.706153404513348e-05,0.00016389711505455438,4.0101805002672724e-05,Parking
7.838268809937092e-06,8.932217133098061e-05,2.1871433163325752e-05,Parking
9.136509905468726e-06,9.776809780939286e-05,2.3894943117449753e-05,Parking
8.900461837619808e-06,0.00011005459626210267,2.7010164056076728e-05,Parking
1.1507982618530429e-05,8.376870364900037e-05,2.050624228152925e-05,Parking
2.0395604325459175e-05,0.0001270545590492326,3.078873576133882e-05,Parking
1.0497597449379386e-05,8.634906643489697e-05,2.1074303099730158e-05,Parking
1.0282421173649641e-05,7.24473397142843e-05,1.747570300274974e-05,Parking
1.689909063544422e-05,0.00014513709298588043,3.556550825738851e-05,Parking
1.1414075743492146e-05,8.271442170357508e-05,2.0291451418878294e-05,Parking
9.920510842382123e-06,0.00011015394948561759,2.6960374259276957e-05,Parking
1.5722971035631602e-05,0.00017337365129657382,4.253614867016977e-05,Parking
1.3382410851984412e-05,0.00011162559320971386,2.7364153508841863e-05,Parking
1.4419671417855498e-05,0.00016679052563449922,4.090375632620809e-05,Parking
1.2418101809379583e-05,9.151259053203042e-05,2.2432078444092444e-05,Parking
2.2995717398806328e-05,0.0001675552794595611,4.1101216307873745e-05,Parking
4.509915662276191e-06,1.7376573444781258e-05,3.871098908488343e-06,Parking
2.3711386500835562e-05,0.00017458962739884355,4.2825619279107626e-05,Parking
1.8099616544081004e-05,0.00012787327646151845,3.1126246001915554e-05,Parking
1.195480041996296e-05,0.00010902862559553931,2.6603703492184505e-05,Parking
1.3744645024040215e-05,9.95918931946734e-05,2.443194420856491e-05,Parking
3.905327632567337e-06,2.417944035130151e-05,5.734352837456842e-06,Parking
1.4181204067448758e-05,8.304675052634582e-05,1.9795733959610512e-05,Parking
1.3655058412354816e-05,5.770505462321359e-05,1.318498069653122e-05,Parking
1.2458971488627493e-05,7.813587673610488e-05,1.879201141101918e-05,Parking
1.6314249072129295e-05,0.00011138294614936143,2.7185262844033005e-05,Parking
4.9969647212839526e-06,5.6699028502551035e-05,1.3926361957227544e-05,Parking
3.5698534137241594e-05,0.00012452811225831245,2.6747109732829282e-05,Parking
1.4648083464297512e-05,7.183406781892637e-05,1.6535060296672762e-05,Parking
3.184452593656148e-05,0.00010690738936241141,2.262635134492763e-05,Parking
1.8645895952731102e-05,0.00010967112583944199,2.6141570260950263e-05,Parking
1.3258050440585733e-05,3.6945062683816125e-05,6.980126094691107e-06,Parking
2.401498938177579e-05,7.445010734992408e-05,1.5042263591263567e-05,Parking
9.409191937089882e-06,8.903861468679174e-05,2.18473848848064e-05,Parking
2.435825632622687e-05,5.3424315169891354e-05,7.322671429733573e-06,Parking
2.2545323041768416e-05,5.6214539424803986e-05,9.653082951687278e-06,Parking
1.783097371212947e-05,7.723747691854679e-05,1.7580695039668907e-05,Parking
2.635483263598452e-05,0.0001195207841487011,2.7126401902737992e-05,Parking
2.266839094175415e-05,0.00010480833259633923,2.4397543695819595e-05,Parking
1.4603725135232041e-05,9.81836735550749e-05,2.3944265144615553e-05,Parking
1.0084605658262909e-05,7.568418938172774e-05,1.8503458840198464e-05,Parking
1.9591250555520463e-05,0.00015641504235450253,3.832059044039269e-05,Parking
1.5107305482697828e-05,5.9525865310186226e-05,1.3362492482536468e-05,Parking
1.8964420228811892e-05,0.00014428604966306203,3.5385598864366985e-05,Parking
0.00011991961090950005,0.000867103199316227,0.0002126880651251272,Parking
0.0003844547986047201,0.002785514502814245,0.0006833420055171108,Parking
0.0008078211741172814,0.005853748575073926,0.0014360459144747279,Parking
