angular_v_mag,Environment
0.002431433070147932,Parking Lot
0.0025736116167217227,Parking Lot
0.0010243978756246813,Parking Lot
0.0013846378485250792,Parking Lot
0.0017642914397003689,Parking Lot
0.0009995584900344752,Parking Lot
0.000668865310357773,Parking Lot
0.0006328117218414969,Parking Lot
0.0008118132931900047,Parking Lot
0.0004895530492765824,Parking Lot
0.0005134244718515079,Parking Lot
0.0013034432855709526,Parking Lot
0.0012132930401696038,Parking Lot
0.0013355308880755995,Parking Lot
0.0018535392477430845,Parking Lot
0.002089382282476091,Parking Lot
0.0013694832072975885,Parking Lot
0.0007129980007647215,Parking Lot
0.0011262815977920444,Parking Lot
0.0026773427053326583,Parking Lot
0.00225435008934482,Parking Lot
0.0024026001020621386,Parking Lot
0.0017456378747784432,Parking Lot
0.0023785476058544638,Parking Lot
0.0016540220047218236,Parking Lot
0.0011831626768386504,Parking Lot
0.000846040028334357,Parking Lot
0.0009237087145848521,Parking Lot
0.0011825477970044173,Parking Lot
0.0012289405994595506,Parking Lot
0.0009533335459323775,Parking Lot
0.002022958174648206,Parking Lot
0.0018363037847069317,Parking Lot
0.003059408512788215,Parking Lot
0.0023801307038480053,Parking Lot
0.002543239929358022,Parking Lot
0.002109525427014568,Parking Lot
0.0016427932545819632,Parking Lot
0.0011907940191317721,Parking Lot
0.0017339177311510487,Parking Lot
0.003121958514954995,Parking Lot
0.0016531497725856541,Parking Lot
0.002748721554759594,Parking Lot
0.0017163360134309366,Parking Lot
0.0020671646950354487,Parking Lot
0.00220503664557508,Parking Lot
0.00220782421022961,Parking Lot
0.0009815301516509817,Parking Lot
0.004615289484130438,Parking Lot
0.002960759086995259,Parking Lot
0.003410940063882683,Parking Lot
0.0014403854987120634,Parking Lot
0.0012517825741082196,Parking Lot
0.0025764141752251325,Parking Lot
0.0019402759986208147,Parking Lot
0.0019210870027575534,Parking Lot
0.0017433786461856188,Parking Lot
0.003574047966762058,Parking Lot
0.001658429499888373,Parking Lot
0.00256021518972527,Parking Lot
0.001103745123160234,Parking Lot
0.001524932116587489,Parking Lot
0.0011375395329728103,Parking Lot
0.0021538311703836028,Parking Lot
0.0006499292256053729,Parking Lot
0.0011918195490073157,Parking Lot
0.0022386944414046323,Parking Lot
0.0007457038696620801,Parking Lot
0.003017109132703191,Parking Lot
0.0012487581433568318,Parking Lot
0.0012940783815368372,Parking Lot
0.0019302091535895788,Parking Lot
0.0011411248089933017,Parking Lot
0.0014296430783240963,Parking Lot
0.0024478173891091214,Parking Lot
0.002439023369614362,Parking Lot
0.0015384488507235099,Parking Lot
0.0026660073944804593,Parking Lot
0.0026917254542163094,Parking Lot
0.0027529386823639933,Parking Lot
0.0015622100914409688,Parking Lot
0.002787535229176485,Parking Lot
0.002073338024852677,Parking Lot
0.0006011056507802936,Parking Lot
0.001030812082292403,Parking Lot
0.001846296165999378,Parking Lot
0.0031057985143186613,Parking Lot
0.001940681374981478,Parking Lot
0.0024102772399871345,Parking Lot
0.002636725364791714,Parking Lot
0.0019135353537721735,Parking Lot
0.0013779175653499745,Parking Lot
0.0005341041827209374,Parking Lot
0.0013639899524556622,Parking Lot
0.0018142425913587187,Parking Lot
0.0009083373825842466,Parking Lot
0.0011808283870656225,Parking Lot
0.0012630912654673849,Parking Lot
0.00045454698030016695,Parking Lot
0.0008887409899965232,Parking Lot
0.0018841746424893846,Parking Lot
0.0012510312338626878,Parking Lot
0.0010002782679834647,Parking Lot
0.0006678510335396658,Parking Lot
0.0008220640823561141,Parking Lot
0.001038259151127501,Parking Lot
0.0008388846544668698,Parking Lot
0.0007316948928344379,Parking Lot
0.0011442879513916071,Parking Lot
0.0007916830414376702,Parking Lot
0.0006284888106402531,Parking Lot
0.0016748158571857988,Parking Lot
0.0010233484706203455,Parking Lot
