angular_vel_mag,Environment
0.23683344937750536,Parking Lot
0.019123623645001732,Parking Lot
0.007330039774500372,Parking Lot
0.002881659758696024,Parking Lot
0.0022811054527155745,Parking Lot
0.000786226006274647,Parking Lot
0.001712157056656822,Parking Lot
0.0007034966705142458,Parking Lot
0.0012792071154412261,Parking Lot
0.0004683393944419133,Parking Lot
0.0007345780888584536,Parking Lot
0.0005068440757527452,Parking Lot
0.0004793786009471122,Parking Lot
0.001241922199496064,Parking Lot
0.0009152892949023413,Parking Lot
0.0017178809108226777,Parking Lot
0.00037620996826669725,Parking Lot
0.0025533348177886736,Parking Lot
0.0007097272134647702,Parking Lot
0.0011342074542294216,Parking Lot
0.0009624667778854888,Parking Lot
0.002254452131398501,Parking Lot
0.0024729734080051564,Parking Lot
0.002111635472021423,Parking Lot
0.001900378069073501,Parking Lot
0.001857891633923145,Parking Lot
0.0006956656676195763,Parking Lot
0.0010271716686289065,Parking Lot
0.0009683051651097614,Parking Lot
0.0013718683470678777,Parking Lot
0.0009869984897054919,Parking Lot
0.0013365731398726718,Parking Lot
0.0009015677581694473,Parking Lot
0.0010930263580887336,Parking Lot
0.0010762832122968718,Parking Lot
0.0029889535968998034,Parking Lot
0.00143562471397956,Parking Lot
0.003534099493797829,Parking Lot
0.0021792670054995777,Parking Lot
0.0005471679865849755,Parking Lot
0.0012974730911201754,Parking Lot
0.0013809080718544468,Parking Lot
0.0017081391176106396,Parking Lot
0.0017287829192932074,Parking Lot
0.0034428949778984768,Parking Lot
0.0006900443013039238,Parking Lot
0.0016035942563657657,Parking Lot
0.0020798858618938407,Parking Lot
0.002020790755499562,Parking Lot
0.001980341883880729,Parking Lot
0.0031984607251751285,Parking Lot
0.0029279827925022734,Parking Lot
0.0012115403050746518,Parking Lot
0.0032868123066695626,Parking Lot
0.00037968851973310225,Parking Lot
0.0013451234547029233,Parking Lot
0.0014386508630255582,Parking Lot
0.0023914721907030857,Parking Lot
0.0022479675733858557,Parking Lot
0.00200106833881208,Parking Lot
0.0036092774778168917,Parking Lot
0.0014190905438184818,Parking Lot
0.0023792666675425617,Parking Lot
0.0005697322127933898,Parking Lot
0.001983848472825791,Parking Lot
