d_footforce_dt,Environment
50.858386296021855,Parking
49.86131423535541,Parking
47.90762310318055,Parking
45.07436636288243,Parking
41.46816316723214,Parking
37.21617241309072,Parking
32.45661430485831,Parking
27.35633007107015,Parking
22.019215813600177,Parking
16.582365177778932,Parking
11.176500728138937,Parking
5.913666945466566,Parking
0.857662717081619,Parking
-3.8788737265009474,Parking
-8.247899615292097,Parking
-12.152758508991724,Parking
-15.606051150087657,Parking
-18.572831260372627,Parking
-21.07592919872191,Parking
-23.16172927334724,Parking
-24.84112777215268,Parking
-25.85899274290371,Parking
-25.99618510972063,Parking
-25.55937723328597,Parking
-24.796384114617943,Parking
-23.85226916303566,Parking
-22.855702568699694,Parking
-21.924150350137896,Parking
-21.138806503092074,Parking
-20.521675898713127,Parking
-20.062081119479128,Parking
-19.808181198197445,Parking
-19.742749329051605,Parking
-19.837150737305794,Parking
-20.053280205288054,Parking
-20.382394413671836,Parking
-20.738438691139486,Parking
-21.027088293448436,Parking
-21.177126464389715,Parking
-21.092963171113023,Parking
-20.70218409042304,Parking
-19.90877000890481,Parking
-18.630265842368615,Parking
-16.808505929751448,Parking
-14.458560378359017,Parking
-11.588863614366389,Parking
-8.3246305834024,Parking
-4.7750114786581825,Parking
-1.0976102931267897,Parking
2.570794917367622,Parking
6.068682807292533,Parking
9.259027826567875,Parking
12.013952713993277,Parking
14.242539277098608,Parking
15.867470953262956,Parking
16.921633249327964,Parking
17.40341144991435,Parking
17.424355153213746,Parking
17.07600886931983,Parking
16.463154563830344,Parking
15.75011619783611,Parking
15.023849432229019,Parking
14.463332399333671,Parking
14.075144077050673,Parking
13.951295843244333,Parking
14.116763665244054,Parking
14.525481417595534,Parking
15.157369616427,Parking
16.03846197096758,Parking
17.145106834008285,Parking
18.367739087658467,Parking
19.65897318654424,Parking
20.98700866872413,Parking
22.301172275936494,Parking
23.48199362805735,Parking
24.451867135166378,Parking
25.26605008586971,Parking
25.78537741050266,Parking
25.997524490663015,Parking
25.86133732043316,Parking
25.470969225473414,Parking
