T_FR_HIP,T_FR_THIGH,T_FR_CALF,T_FL_HIP,T_FL_THIGH,T_FL_CALF,T_RR_HIP,T_RR_THIGH,T_RR_CALF,T_RL_HIP,T_RL_THIGH,T_RL_CALF,Environment
0.002916543854667664,0.021059999652346475,0.005163013153208905,0.002916543854667664,0.021059999652346475,0.005163013153208905,0.002916543854667664,0.021059999652346475,0.005163013153208905,0.002916543854667664,0.021059999652346475,0.005163013153208905,Indoor
6.196970918424647e-05,0.0005579729448954068,0.00013698151503145652,6.196970918424647e-05,0.0005579729448954068,0.00013698151503145652,6.196970918424647e-05,0.0005579729448954068,0.00013698151503145652,6.196970918424647e-05,0.0005579729448954068,0.00013698151503145652,Indoor
1.9792904016231014e-05,0.00019517154521674648,4.785800718555761e-05,1.9792904016231014e-05,0.00019517154521674648,4.785800718555761e-05,1.9792904016231014e-05,0.00019517154521674648,4.785800718555761e-05,1.9792904016231014e-05,0.00019517154521674648,4.785800718555761e-05,Indoor
9.208078456194363e-06,5.1237423149380536e-05,1.2225380744317538e-05,9.208078456194363e-06,5.1237423149380536e-05,1.2225380744317538e-05,9.208078456194363e-06,5.1237423149380536e-05,1.2225380744317538e-05,9.208078456194363e-06,5.1237423149380536e-05,1.2225380744317538e-05,Indoor
6.6758720564334405e-06,6.03599090386342e-05,1.474448721185107e-05,6.6758720564334405e-06,6.03599090386342e-05,1.474448721185107e-05,6.6758720564334405e-06,6.03599090386342e-05,1.474448721185107e-05,6.6758720564334405e-06,6.03599090386342e-05,1.474448721185107e-05,Indoor
8.00179710086397e-06,5.3282463903383206e-05,1.298812674426142e-05,8.00179710086397e-06,5.3282463903383206e-05,1.298812674426142e-05,8.00179710086397e-06,5.3282463903383206e-05,1.298812674426142e-05,8.00179710086397e-06,5.3282463903383206e-05,1.298812674426142e-05,Indoor
8.208726068459879e-06,8.07199812733852e-05,1.9738081302224776e-05,8.208726068459879e-06,8.07199812733852e-05,1.9738081302224776e-05,8.208726068459879e-06,8.07199812733852e-05,1.9738081302224776e-05,8.208726068459879e-06,8.07199812733852e-05,1.9738081302224776e-05,Indoor
7.169033450119563e-06,6.289070815786927e-05,1.542608090416488e-05,7.169033450119563e-06,6.289070815786927e-05,1.542608090416488e-05,7.169033450119563e-06,6.289070815786927e-05,1.542608090416488e-05,7.169033450119563e-06,6.289070815786927e-05,1.542608090416488e-05,Indoor
1.6012960442698773e-05,0.0001964745085861524,4.826244382267831e-05,1.6012960442698773e-05,0.0001964745085861524,4.826244382267831e-05,1.6012960442698773e-05,0.0001964745085861524,4.826244382267831e-05,1.6012960442698773e-05,0.0001964745085861524,4.826244382267831e-05,Indoor
3.587354486649054e-05,0.00043083642198677254,0.0001058049989985413,3.587354486649054e-05,0.00043083642198677254,0.0001058049989985413,3.587354486649054e-05,0.00043083642198677254,0.0001058049989985413,3.587354486649054e-05,0.00043083642198677254,0.0001058049989985413,Indoor
