angular_vel_mag,Environment
0.004114861604814369,Indoor
0.0008330906280614083,Indoor
0.0008018371210952386,Indoor
0.0010939114697674703,Indoor
0.001085761602708927,Indoor
0.0009723354986813716,Indoor
0.0008393857780693952,Indoor
0.002516205439051628,Indoor
0.003074815747427615,Indoor
0.012786459288559976,Indoor
0.01318824534507742,Indoor
0.038509843425789954,Indoor
0.06045372497244588,Indoor
0.1301203532288813,Indoor
0.08985300584434941,Indoor
0.08788375450063159,Indoor
0.1371574085503087,Indoor
0.14524378394436477,Indoor
0.10033909379980063,Indoor
0.01736118073708322,Indoor
0.051775735011356475,Indoor
0.05811010067360949,Indoor
0.07365927086039174,Indoor
0.06539448045899376,Indoor
0.035597481455259976,Indoor
0.03544591586099196,Indoor
0.043762536669450125,Indoor
0.04313933869218245,Indoor
0.03610044197506652,Indoor
0.03117533126959057,Indoor
0.04030293732373689,Indoor
0.04759544402791679,Indoor
0.02058041821527424,Indoor
0.022237510007695825,Indoor
0.04285335041355391,Indoor
0.03342957158199807,Indoor
0.04769462295084613,Indoor
0.028256269754678966,Indoor
0.02656304805801742,Indoor
0.017937414744286458,Indoor
0.02788183972934364,Indoor
0.038359771423166024,Indoor
0.028186008441829676,Indoor
0.043736507580956395,Indoor
0.013907074464521822,Indoor
0.010595751825691864,Indoor
0.027507368347273062,Indoor
0.03368777368046343,Indoor
0.02234860147240968,Indoor
0.0332640383046609,Indoor
0.05242276291178151,Indoor
0.04076265310804643,Indoor
0.026307267702069398,Indoor
0.051800235093688335,Indoor
0.031239619473419335,Indoor
0.04666112083908539,Indoor
0.06433322018061419,Indoor
0.041822765844927584,Indoor
0.033984936700380004,Indoor
0.029912667287093745,Indoor
0.022056085641365856,Indoor
0.01831996800680772,Indoor
0.04159644020773044,Indoor
0.03591794054554287,Indoor
0.023301984875798536,Indoor
0.06038238525547427,Indoor
0.06531548250939088,Indoor
0.056348853176770665,Indoor
0.05304564151919788,Indoor
0.07097133677933067,Indoor
0.1712528830539958,Indoor
1.0353618159646476,Indoor
2.026471476824585,Indoor
2.372497085253052,Indoor
1.8648407856992901,Indoor
0.8659915443636861,Indoor
0.0029737868276522457,Indoor
0.15106525031373588,Indoor
0.3910478978379155,Indoor
1.0198502534956473,Indoor
1.9696438486714367,Indoor
2.6371599045585086,Indoor
2.586908390405473,Indoor
1.8920720518983245,Indoor
1.0019268194214839,Indoor
0.2314898550380801,Indoor
0.09763309863621902,Indoor
0.1452674735814621,Indoor
0.1316138765848615,Indoor
0.21468195717363525,Indoor
0.46337890565789747,Indoor
0.5344452913826093,Indoor
0.4104838443388027,Indoor
0.12936828761659894,Indoor
0.08159332313995953,Indoor
0.1294915482231852,Indoor
0.0910194420784756,Indoor
0.04333232440794986,Indoor
0.022383473619007666,Indoor
0.0326470823019357,Indoor
0.02088944232752001,Indoor
0.060559562132748684,Indoor
0.060956833201943214,Indoor
0.03339876031372407,Indoor
0.049316961773947704,Indoor
0.10550588237752397,Indoor
0.10774516718927438,Indoor
0.09681224714838538,Indoor
0.08718954021824403,Indoor
0.04953582686382896,Indoor
0.0943397515310052,Indoor
0.09884681348459642,Indoor
0.08756782721368246,Indoor
0.08925653314783627,Indoor
0.057738403883035375,Indoor
0.052572664908072046,Indoor
0.04326424969215167,Indoor
