jmag,Environment
1.1481386191952236,Indoor
0.8141638143964137,Indoor
0.528163791694297,Indoor
0.29143143514421127,Indoor
0.1123861359179792,Indoor
0.08549279457719924,Indoor
0.3548873511454243,Indoor
0.27434566603265464,Indoor
0.978527692902244,Indoor
1.214733671674678,Indoor
1.9388544934478256,Indoor
5.679022070215159,Indoor
5.603132006087949,Indoor
3.143426105568436,Indoor
1.962578436892197,Indoor
5.733598110169001,Indoor
5.734912804984412,Indoor
6.294909349530222,Indoor
4.432670190066325,Indoor
2.618702272677845,Indoor
1.950511272424602,Indoor
2.0184978546565384,Indoor
2.7340113423690644,Indoor
1.742889664966094,Indoor
2.154918349669744,Indoor
3.1642722663662717,Indoor
3.0205833692427264,Indoor
3.6910998746111465,Indoor
0.9848990598394524,Indoor
3.9481028032299226,Indoor
2.874303277672633,Indoor
4.01423255957017,Indoor
2.19124655165579,Indoor
1.1951469496861187,Indoor
1.832152473213375,Indoor
0.7945101357467715,Indoor
1.1540766702125484,Indoor
1.0753823873756163,Indoor
1.123220136142918,Indoor
0.7726208231012484,Indoor
1.9238016604571304,Indoor
4.022302738576996,Indoor
2.3237301263230483,Indoor
1.0050058603937286,Indoor
1.0142135326878248,Indoor
1.4912220956459747,Indoor
1.8941766742677173,Indoor
1.8866413900982715,Indoor
2.366019494079764,Indoor
2.519017777055515,Indoor
1.351730947445848,Indoor
1.31202712921222,Indoor
0.7232509569236201,Indoor
2.427489565257245,Indoor
3.1620295169893375,Indoor
2.56810517023428,Indoor
3.493971651733221,Indoor
0.8944785614447442,Indoor
1.9076897509227915,Indoor
2.1875816155530536,Indoor
2.063697936539141,Indoor
1.0481078535650532,Indoor
0.9699742305964076,Indoor
2.1312605579745876,Indoor
1.3232830825612547,Indoor
2.4531161826231562,Indoor
2.415873684264578,Indoor
1.287251370178296,Indoor
4.746300132464016,Indoor
0.8301417144764153,Indoor
2.2511135459795066,Indoor
3.379573257613942,Indoor
2.496182006700639,Indoor
2.543656973749801,Indoor
2.998943892164009,Indoor
0.9086608149139626,Indoor
0.9678914782245452,Indoor
2.311145107263974,Indoor
3.6117662936380417,Indoor
4.342543388637853,Indoor
2.900071199458655,Indoor
2.264003517153739,Indoor
8.045968051880136,Indoor
7.252198612555555,Indoor
1.7057104692663136,Indoor
4.197265961039655,Indoor
2.6225655021219465,Indoor
2.22156518230576,Indoor
1.8172501266885983,Indoor
0.7182590988439819,Indoor
2.864868474105457,Indoor
2.7097380564009903,Indoor
0.7540777070309437,Indoor
1.1532650049073858,Indoor
1.1935581401185986,Indoor
2.2404558114890007,Indoor
1.9649338676659882,Indoor
1.6601826983933343,Indoor
1.9452177255863012,Indoor
0.22569611575386092,Indoor
3.586245933441148,Indoor
4.539475970530177,Indoor
4.5998285770171785,Indoor
1.5825762238422743,Indoor
0.9571923126328485,Indoor
2.221650348374079,Indoor
3.0507204300690702,Indoor
1.56271620491463,Indoor
