angular_mag,Environment
0.0002783353231892064,Indoor
0.0002117610415213573,Indoor
0.0003384273278519925,Indoor
0.0005003281893967198,Indoor
0.0004923658697086954,Indoor
0.00045912359303568797,Indoor
0.00042776733547689216,Indoor
0.0004904845630792064,Indoor
0.0005232820898301412,Indoor
0.005773389028714503,Indoor
0.01873278700038414,Indoor
0.021828416369929358,Indoor
0.03478092232541282,Indoor
0.035178384004043294,Indoor
0.02967633968955909,Indoor
0.02965394611239329,Indoor
0.025789484101821424,Indoor
0.03279027833809893,Indoor
0.02527459898550519,Indoor
0.01861018393757837,Indoor
0.01811116360429183,Indoor
0.01167097172351904,Indoor
0.011932772167991811,Indoor
0.02230881065413618,Indoor
0.019705174665290332,Indoor
0.023018315869098676,Indoor
0.025612761103928256,Indoor
0.02561866077890099,Indoor
0.023085325476535953,Indoor
0.030806647263374832,Indoor
0.03191547806879289,Indoor
0.029274056990975815,Indoor
0.028045798902489833,Indoor
0.03402061783815808,Indoor
0.030535869556475706,Indoor
0.031231831632899408,Indoor
0.036531681494381005,Indoor
0.03054686849473281,Indoor
0.0362364691861514,Indoor
0.04212457980514939,Indoor
0.039132106475928435,Indoor
0.03882134415527752,Indoor
0.04484716478241852,Indoor
0.04652051311349972,Indoor
0.038078452998530556,Indoor
0.04561724229852348,Indoor
0.0472697644681767,Indoor
0.0395780375236873,Indoor
0.042133461302171694,Indoor
0.04867046739265609,Indoor
0.042320328734759376,Indoor
0.04794168359672405,Indoor
0.05683431536158415,Indoor
0.049642583208427016,Indoor
0.04796516162549648,Indoor
0.05435682923948011,Indoor
0.051843632301242164,Indoor
0.05116022231147946,Indoor
0.05736574072988511,Indoor
0.05707402922298723,Indoor
0.054703863666157995,Indoor
0.06267114597751378,Indoor
0.06506262583303875,Indoor
0.05751951529656174,Indoor
0.057469425107520435,Indoor
0.05801657587378283,Indoor
0.05863193637203619,Indoor
0.055505955802797415,Indoor
0.018050247274552778,Indoor
0.12219618445765809,Indoor
0.3648744500519494,Indoor
0.6395935202014245,Indoor
0.726640320785091,Indoor
0.753455007438235,Indoor
0.7700866142071617,Indoor
0.7666382383414488,Indoor
0.8191994576277682,Indoor
0.9893677503777956,Indoor
1.2133256406665525,Indoor
1.4684638739522602,Indoor
1.743756725590425,Indoor
1.8516915300747412,Indoor
1.907078007005898,Indoor
1.911379136275378,Indoor
1.9175551440435739,Indoor
1.90672843727688,Indoor
1.9176262920742169,Indoor
1.9052348594462496,Indoor
1.8147181830653074,Indoor
1.766880038756332,Indoor
1.7670016903424683,Indoor
1.7514356831345792,Indoor
1.7476406821517492,Indoor
1.7540352382435478,Indoor
1.7525466778630066,Indoor
1.753410506449169,Indoor
1.7518575005025323,Indoor
1.7513599403577336,Indoor
1.7521622125303156,Indoor
1.7514603894001335,Indoor
1.744614906984339,Indoor
1.7537280495817498,Indoor
1.75556522518572,Indoor
1.7431577750535736,Indoor
